changedField,baselineKey,changedKey,cacheMissRequired
bodyMeshHash,b0b3b8eff5022ea941da86dda4f6438eda215946d6fca74530e34390d8c24441,72ed4809324092bf197e66afcdf7c82e00bba378d145fa5c8cbb827154c4b261,1
freeSurfaceMeshHash,b0b3b8eff5022ea941da86dda4f6438eda215946d6fca74530e34390d8c24441,35a07094fbec34eb6ac54fa8ca52eab874280ce8742ecf1fcc67e4d0ce54e93b,1
bottomMeshHash,b0b3b8eff5022ea941da86dda4f6438eda215946d6fca74530e34390d8c24441,23d47b4c332c03e002430b62b29058adf9583c19abe89e6ede056d40be26c130,1
outerBoundaryMeshHash,b0b3b8eff5022ea941da86dda4f6438eda215946d6fca74530e34390d8c24441,6cb7d5038987386944bb582d65fe9478d4e18b06ec2547c6e3806a4d886d7ff8,1
frequency,b0b3b8eff5022ea941da86dda4f6438eda215946d6fca74530e34390d8c24441,baf34a2ee822ec0f71ddfd27e8b1a80ff3618de4717eff79ce4ba33ced864e86,1
headings,b0b3b8eff5022ea941da86dda4f6438eda215946d6fca74530e34390d8c24441,fe4384f23ec6dc216b508b273519bc55c0a2f3b95a2d007602516f7d6b1d0ead,1
globalDofCount,b0b3b8eff5022ea941da86dda4f6438eda215946d6fca74530e34390d8c24441,cefadc225ffb665200ccd1dbb294e5c37bd2bffb0b3040b0e1d685d7ba788d0b,1
problemType,b0b3b8eff5022ea941da86dda4f6438eda215946d6fca74530e34390d8c24441,6035695387574ea3f7d2f723ebe43015d46fe41abefe578542229e29f7d24be2,1
solverOptions,b0b3b8eff5022ea941da86dda4f6438eda215946d6fca74530e34390d8c24441,d57268961cf9bf223c9338d4fb97a8d47de860cac2ed083fad609af2674b71c9,1
codeVersion,b0b3b8eff5022ea941da86dda4f6438eda215946d6fca74530e34390d8c24441,6493070812831a03cd8d251500396f7b53b608079d11f55207766a7fda4975b7,1
