omegaRadPerSecond,CRESTU_A33,WAMIT_A33,A33RelativeError,CRESTU_B33,WAMIT_B33,B33RelativeError,CRESTU_F3,WAMIT_F3,F3RelativeError,CRESTU_RAO3,WAMIT_RAO3,RAO3RelativeError,highFrequency
0.5,186395.145596137,218064.24,0.145228279537547,10593.5380708263,27351.4819153375,0.612688698052373,678264.834281144,668737.034372216,0.014247453661472,1.00610631542933,1.00597700112143,0.000128545988383253,0
0.6,123630.288698847,212307.43,0.417682703338047,15865.0863185132,40195.8693545724,0.605305555688685,654134.115466814,620518.517033818,0.0541734009706666,1.01138345014436,1.01116801618468,0.000213054562876727,0
0.7,139674.595914078,201484.865,0.306773757353544,5068.28323646455,55284.0792290571,0.908322914894444,600472.527433682,568888.673212748,0.0555185147958171,1.02139576301316,1.02069521310281,0.000686345836995658,0
0.8,147795.157316757,186708.875,0.208419217796922,4700.33466912726,69791.2723196619,0.932651540616733,542197.143679572,516974.532320878,0.0487888856835194,1.03969369747308,1.03783039234062,0.00179538501301231,0
0.9,155348.974978083,170789.2925,0.0904056530471163,7891.16105793805,81650.0433317772,0.903353865644957,477195.58678881,466383.488411551,0.0231828498347667,1.07312651247926,1.06784135259734,0.00494938678770691,0
1,163965.52042089,155681.51,0.0532112671626166,22864.4834944914,90182.6511740267,0.746464722462312,404991.532226683,417953.808663707,0.0310136578931252,1.13685844228187,1.11974558432917,0.0152828090525138,0
1.1,134308.54766869,142286.5025,0.0560696530671283,51181.0469102381,95336.5182678087,0.463153806745218,377637.824180989,372354.459206955,0.0141890739949413,1.23479863273509,1.20980862453643,0.0206561663488191,0
1.2,122296.05544766,130981.9825,0.0663139073524136,22087.2393391325,97311.8387945126,0.773026184555275,329505.5447513,330061.834104176,0.00168540950633091,1.45256135401141,1.3676817236894,0.062060952377901,0
1.3,129910.194587626,121874.55,0.065933737499966,12931.6885845352,96485.7280609246,0.865973042392657,255758.938708667,291322.98784008,0.122077730271446,2.20505377860528,1.63365484724681,0.349767230404542,0
1.4,135940.275880284,114891.43,0.183206405214766,12681.9198511998,93357.8322558246,0.864157944279939,183287.204834276,256198.837194166,0.284590020619932,9.9954367473314,1.89317121924986,4.27973204203471,0
1.5,140584.921726168,109841.05,0.279894190069817,19871.7378212629,88481.453450783,0.775413524006854,116244.860369156,224630.470612161,0.482506268840702,0.857297803918925,1.52138749673481,0.436502662366522,1
1.6,135575.158263657,106464.1875,0.273434395614552,38044.8989445891,82401.4399431328,0.538298129609812,95381.2297209144,196487.144163656,0.514567580861827,0.376059227668871,0.902405503155264,0.583270241200904,1
1.7,122890.940744343,104474.56,0.176276222118984,27090.8413199406,75609.6990888086,0.6417015059388,76638.6801940573,171594.917538565,0.553374416367353,0.221540145090867,0.539056163067458,0.58902214598529,1
1.8,126125.180442166,103589.575,0.217547040251549,14087.0705450211,68519.8573840555,0.794408933660462,28018.4313246764,149750.484225607,0.812899227207405,0.0570729657861659,0.342976428640918,0.833595078203118,1
1.9,130701.406619434,103548.985,0.262218133953065,11754.4222320234,61457.309148361,0.80873841704251,48837.0290585682,130724.158237088,0.626411600448061,0.0747745778377678,0.229973852536061,0.674856175981821,1
2,134722.926549586,104126.88,0.293834277465976,17327.0775527461,54660.0981694098,0.683003175386848,92360.2134507896,114254.171887405,0.191625024057687,0.11192691226908,0.160447062511473,0.302405974175586,1
