omega_rad_s,heading_deg,method,body,dof,load,Cd
0.5,0,near_field,1,1,499.586211224798,0.00994021774372962
0.5,0,near_field,1,2,0.0114465555400123,2.27750990573714e-07
0.5,0,near_field,1,3,19018.2314938176,0.378403882856845
0.5,0,near_field,1,4,0.000136243051241794,2.71081460013347e-10
0.5,0,near_field,1,5,0.742816764222795,1.47797521512154e-06
0.5,0,near_field,1,6,-2.03139193985275e-05,-4.04184057752298e-11
0.5,0,far_field_global,0,1,-138.547125371794,-0.00275665853664593
0.5,0,far_field_global,0,2,0.00014671928129872,2.91925911993706e-09
0.5,0,far_field_global,0,3,0,0
0.5,0,far_field_global,0,4,0,0
0.5,0,far_field_global,0,5,0,0
0.5,0,far_field_global,0,6,-0.115995326272438,-2.30794760643259e-07
0.5,45,near_field,1,1,355.203772890028,0.00706745455857349
0.5,45,near_field,1,2,355.220068024995,0.00706777878127238
0.5,45,near_field,1,3,19017.7808938914,0.378394917314398
0.5,45,near_field,1,4,5.8167923296475,1.15736145289116e-05
0.5,45,near_field,1,5,-5.81671566294729,-1.15734619859317e-05
0.5,45,near_field,1,6,-1.87457578166497e-05,-3.72982500881862e-11
0.5,45,far_field_global,0,1,-97.9683000359036,-0.00194926563716092
0.5,45,far_field_global,0,2,-97.9680925456826,-0.00194926150874838
0.5,45,far_field_global,0,3,0,0
0.5,45,far_field_global,0,4,0,0
0.5,45,far_field_global,0,5,0,0
0.5,45,far_field_global,0,6,-0.115996112105172,-2.30796324206925e-07
0.5,90,near_field,1,1,-0.0114465714777483,-2.2775130768528e-07
0.5,90,near_field,1,2,499.586211217926,0.00994021774359287
0.5,90,near_field,1,3,19018.2314938217,0.378403882856925
0.5,90,near_field,1,4,-0.742816764331639,-1.4779752153381e-06
0.5,90,near_field,1,5,0.000136243187394961,2.71081730915964e-10
0.5,90,near_field,1,6,-2.0313946060677e-05,-4.04184588246468e-11
0.5,90,far_field_global,0,1,-0.000146719253478533,-2.91925856640153e-09
0.5,90,far_field_global,0,2,-138.547125373251,-0.00275665853667492
0.5,90,far_field_global,0,3,0,0
0.5,90,far_field_global,0,4,0,0
0.5,90,far_field_global,0,5,0,0
0.5,90,far_field_global,0,6,-0.115995306038737,-2.30794720384462e-07
0.6,0,near_field,1,1,1378.18563122506,0.0274216240517739
0.6,0,near_field,1,2,0.00354109220087454,7.045676349037e-08
0.6,0,near_field,1,3,24015.6061546558,0.477836155324782
0.6,0,near_field,1,4,0.000357642266108141,7.11597301847099e-10
0.6,0,near_field,1,5,0.00249428022249015,4.96284484406518e-09
0.6,0,near_field,1,6,-6.90920234660032e-05,-1.37471720030702e-10
0.6,0,far_field_global,0,1,-307.472518067684,-0.00611775047256129
0.6,0,far_field_global,0,2,0.00146365466628207,2.91221930421196e-08
0.6,0,far_field_global,0,3,0,0
0.6,0,far_field_global,0,4,0,0
0.6,0,far_field_global,0,5,0,0
0.6,0,far_field_global,0,6,-0.435850906073846,-8.67208264126089e-07
0.6,45,near_field,1,1,977.6052973916,0.0194513165198697
0.6,45,near_field,1,2,977.610521310662,0.0194514204596739
0.6,45,near_field,1,3,24014.6445918206,0.477817023203556
0.6,45,near_field,1,4,8.34948878242312,1.66128957688082e-05
0.6,45,near_field,1,5,-8.34938591806547,-1.66126911006068e-05
0.6,45,near_field,1,6,-5.58584669598675e-05,-1.11141042714281e-10
0.6,45,far_field_global,0,1,-217.420077117459,-0.00432598590563092
0.6,45,far_field_global,0,2,-217.418007230897,-0.00432594472130142
0.6,45,far_field_global,0,3,0,0
0.6,45,far_field_global,0,4,0,0
0.6,45,far_field_global,0,5,0,0
0.6,45,far_field_global,0,6,-0.435865519461234,-8.67237340239351e-07
0.6,90,near_field,1,1,-0.00354136459836834,-7.0462183356532e-08
0.6,90,near_field,1,2,1378.1856312083,0.0274216240514404
0.6,90,near_field,1,3,24015.6061547131,0.477836155325922
0.6,90,near_field,1,4,-0.00249428121832695,-4.96284682547187e-09
0.6,90,near_field,1,5,0.000357645182008636,7.11603103585654e-10
0.6,90,near_field,1,6,-6.90922177758491e-05,-1.37472106647093e-10
0.6,90,far_field_global,0,1,-0.00146365318906249,-2.91221636500268e-08
0.6,90,far_field_global,0,2,-307.472518093064,-0.00611775047306629
0.6,90,far_field_global,0,3,0,0
0.6,90,far_field_global,0,4,0,0
