omega_rad_s,heading_deg,method,body,dof,load,Cd
0.5,0,near_field,1,1,151.765179909562,0.00301965686866912
0.5,0,near_field,1,2,-0.0513179410732286,-1.02106802983448e-06
0.5,0,near_field,1,3,19052.6977446618,0.379089654462432
0.5,0,near_field,1,4,1.57964060513397e-05,3.14299538679682e-11
0.5,0,near_field,1,5,1.14665531274976,2.2814888060648e-06
0.5,0,near_field,1,6,0.000666063694376618,1.32526038640354e-09
0.5,0,far_field_global,0,1,-81.5111344692903,-0.0016218190313475
0.5,0,far_field_global,0,2,-3.5347585956573e-06,-7.03307443698506e-11
0.5,0,far_field_global,0,3,0,0
0.5,0,far_field_global,0,4,0,0
0.5,0,far_field_global,0,5,0,0
0.5,0,far_field_global,0,6,0.00277926441855346,5.52987509805198e-09
0.5,45,near_field,1,1,99.3410904041827,0.00197657991219612
0.5,45,near_field,1,2,99.2664928693395,0.00197509565237704
0.5,45,near_field,1,3,19052.4820888879,0.379085363580694
0.5,45,near_field,1,4,0.622767196523683,1.23911377015807e-06
0.5,45,near_field,1,5,-0.623116500861582,-1.23980877756611e-06
0.5,45,near_field,1,6,-0.000345442519173808,-6.87323585275066e-10
0.5,45,far_field_global,0,1,-57.6371866347413,-0.00114680143769523
0.5,45,far_field_global,0,2,-57.6371863545444,-0.00114680143212018
0.5,45,far_field_global,0,3,0,0
0.5,45,far_field_global,0,4,0,0
0.5,45,far_field_global,0,5,0,0
0.5,45,far_field_global,0,6,-0.000155833022660401,-3.10059433608132e-10
0.5,90,near_field,1,1,-0.135605826603489,-2.69813580413368e-06
0.5,90,near_field,1,2,151.753898020963,0.00301943239404048
0.5,90,near_field,1,3,19052.7096756662,0.379089891852454
0.5,90,near_field,1,4,-1.14730146819205,-2.28277445519768e-06
0.5,90,near_field,1,5,0.00095295069268407,1.89607662731413e-09
0.5,90,near_field,1,6,-0.000324104356367615,-6.4486725245821e-10
0.5,90,far_field_global,0,1,-3.79637112116091e-06,-7.55360230776386e-11
0.5,90,far_field_global,0,2,-81.5111362206,-0.00162181906619314
0.5,90,far_field_global,0,3,0,0
0.5,90,far_field_global,0,4,0,0
0.5,90,far_field_global,0,5,0,0
0.5,90,far_field_global,0,6,-0.00298497531416108,-5.93917604524671e-09
0.6,0,near_field,1,1,836.019214695386,0.0166341921480187
0.6,0,near_field,1,2,-0.0609610835476168,-1.21293668788696e-06
0.6,0,near_field,1,3,23986.4956526781,0.477256946528008
0.6,0,near_field,1,4,3.44647123069422e-05,6.85740993463588e-11
0.6,0,near_field,1,5,0.839370650493218,1.67008753366978e-06
0.6,0,near_field,1,6,0.000771337591901153,1.53472282564089e-09
0.6,0,far_field_global,0,1,-170.762105768324,-0.00339763683539926
0.6,0,far_field_global,0,2,-2.94390017173962e-06,-5.85744923807102e-11
0.6,0,far_field_global,0,3,0,0
0.6,0,far_field_global,0,4,0,0
0.6,0,far_field_global,0,5,0,0
0.6,0,far_field_global,0,6,0.000875108296179266,1.74119437604973e-09
0.6,45,near_field,1,1,580.484013174787,0.0115498333582209
0.6,45,near_field,1,2,580.376448315549,0.0115476931507885
0.6,45,near_field,1,3,23986.0804028189,0.477248684342371
0.6,45,near_field,1,4,1.29094762640708,2.56858580439546e-06
0.6,45,near_field,1,5,-1.29145147517958,-2.5695883073461e-06
0.6,45,near_field,1,6,-0.000498146235138336,-9.91156668106295e-10
0.6,45,far_field_global,0,1,-120.747629819089,-0.00240250372302795
0.6,45,far_field_global,0,2,-120.747629589167,-0.00240250371845321
0.6,45,far_field_global,0,3,0,0
0.6,45,far_field_global,0,4,0,0
0.6,45,far_field_global,0,5,0,0
0.6,45,far_field_global,0,6,-4.8363169814074e-05,-9.62277236495922e-11
0.6,90,near_field,1,1,-0.163840069084421,-3.25990975182063e-06
0.6,90,near_field,1,2,836.013110063683,0.0166340706847617
0.6,90,near_field,1,3,23986.4439812935,0.477255918427548
0.6,90,near_field,1,4,-0.840117585456027,-1.67157370282416e-06
0.6,90,near_field,1,5,0.00113972066626471,2.26769100810952e-09
0.6,90,near_field,1,6,-0.000317965884908583,-6.32653596127133e-10
0.6,90,far_field_global,0,1,-3.15426116367975e-06,-6.27600243623583e-11
0.6,90,far_field_global,0,2,-170.762115350589,-0.00339763702605664
0.6,90,far_field_global,0,3,0,0
0.6,90,far_field_global,0,4,0,0
0.6,90,far_field_global,0,5,0,0
0.6,90,far_field_global,0,6,-0.000937706469920311,-1.86574534710642e-09
0.7,0,near_field,1,1,2559.45782538596,0.0509252807995961
0.7,0,near_field,1,2,-0.0741645891417064,-1.4756455410077e-06
0.7,0,near_field,1,3,29587.0857812128,0.588691337870663
0.7,0,near_field,1,4,7.12685814142065e-05,1.418023959883e-10
0.7,0,near_field,1,5,0.522460359869222,1.03953424311596e-06
0.7,0,near_field,1,6,0.000907593066848913,1.8058290049799e-09
0.7,0,far_field_global,0,1,-289.257323315628,-0.00575532453283012
0.7,0,far_field_global,0,2,4.26503846661591e-06,8.48610511879564e-11
0.7,0,far_field_global,0,3,0,0
0.7,0,far_field_global,0,4,0,0
0.7,0,far_field_global,0,5,0,0
0.7,0,far_field_global,0,6,-0.000521975873066067,-1.03857026448542e-09
0.7,45,near_field,1,1,1795.01742915372,0.0357152853675318
0.7,45,near_field,1,2,1794.85660787501,0.0357120855223555
0.7,45,near_field,1,3,29586.3282368543,0.588676265085016
0.7,45,near_field,1,4,2.17823404324757,4.33401086743416e-06
0.7,45,near_field,1,5,-2.17898787695771,-4.33551076295831e-06
0.7,45,near_field,1,6,-0.000745031893141878,-1.4823826353608e-09
0.7,45,far_field_global,0,1,-204.538560621393,-0.00406968363794737
0.7,45,far_field_global,0,2,-204.538561040092,-0.0040696836462782
0.7,45,far_field_global,0,3,0,0
0.7,45,far_field_global,0,4,0,0
0.7,45,far_field_global,0,5,0,0
0.7,45,far_field_global,0,6,3.63733469511522e-05,7.23716909392413e-11
0.7,90,near_field,1,1,-0.203547525866284,-4.04996511682721e-06
0.7,90,near_field,1,2,2559.45839859586,0.0509252922046971
0.7,90,near_field,1,3,29586.9523728562,0.588688683457702
0.7,90,near_field,1,4,-0.523382568472227,-1.04136915250958e-06
0.7,90,near_field,1,5,0.0014236607635322,2.83264382898404e-09
0.7,90,near_field,1,6,-0.000298600168990449,-5.9412182149758e-10
0.7,90,far_field_global,0,1,4.54309477846825e-06,9.03935102965746e-11
0.7,90,far_field_global,0,2,-289.257328462573,-0.00575532463523839
0.7,90,far_field_global,0,3,0,0
0.7,90,far_field_global,0,4,0,0
0.7,90,far_field_global,0,5,0,0
0.7,90,far_field_global,0,6,0.000555895519972518,1.10605985256151e-09
0.8,0,near_field,1,1,5979.24803467648,0.118968510485386
0.8,0,near_field,1,2,-0.0900364630868921,-1.791446656954e-06
0.8,0,near_field,1,3,35604.1528425596,0.708412329812727
0.8,0,near_field,1,4,0.000144993971467743,2.88493079979936e-10
0.8,0,near_field,1,5,-0.055124965021548,-1.0968160111671e-07
0.8,0,near_field,1,6,0.0010446659068697,2.07856148757135e-09
0.8,0,far_field_global,0,1,-270.986734511373,-0.00539179642308669
0.8,0,far_field_global,0,2,5.4165535245515e-06,1.07772633120935e-10
0.8,0,far_field_global,0,3,0,0
0.8,0,far_field_global,0,4,0,0
0.8,0,far_field_global,0,5,0,0
0.8,0,far_field_global,0,6,-0.000307948391820752,-6.12721888585561e-10
0.8,45,near_field,1,1,4207.42864624314,0.0837147942540859
0.8,45,near_field,1,2,4207.1839039711,0.0837099246411533
0.8,45,near_field,1,3,35602.8374190759,0.708386156960955
0.8,45,near_field,1,4,3.45395241174547,6.87229516704601e-06
0.8,45,near_field,1,5,-3.45510027880272,-6.87457906684818e-06
0.8,45,near_field,1,6,-0.00113399431341336,-2.25629734012172e-09
0.8,45,far_field_global,0,1,-191.627220009218,-0.00381278796275684
0.8,45,far_field_global,0,2,-191.627220505967,-0.00381278797264061
0.8,45,far_field_global,0,3,0,0
0.8,45,far_field_global,0,4,0,0
0.8,45,far_field_global,0,5,0,0
0.8,45,far_field_global,0,6,1.97889251489513e-05,3.93738298766679e-11
0.8,90,near_field,1,1,-0.247817425052364,-4.93079894993831e-06
0.8,90,near_field,1,2,5979.25183764231,0.118968586152623
0.8,90,near_field,1,3,35603.9141957308,0.708407581480229
0.8,90,near_field,1,4,0.053896273962319,1.0723688659215e-07
0.8,90,near_field,1,5,0.00179193086213593,3.56538722469371e-09
0.8,90,near_field,1,6,-0.000286275489723496,-5.6959952829121e-10
