omega_rad_s,heading_deg,method,body,dof,load,Cd
0.5,0,near_field,1,1,272.485700935022,0.00542162121069458
0.5,0,near_field,1,2,0.188127643070715,3.74315722436163e-06
0.5,0,near_field,1,3,19045.3439339668,0.378943336413791
0.5,0,near_field,1,4,-0.00211621152182941,-4.21060526614661e-09
0.5,0,near_field,1,5,1.6940796215414,3.37069357299762e-06
0.5,0,near_field,1,6,0.00299636597460379,5.96183993037833e-09
0.5,0,far_field_global,0,1,-116.836765950076,-0.00232468964899902
0.5,0,far_field_global,0,2,-3.96485436881249e-06,-7.88883176970627e-11
0.5,0,far_field_global,0,3,0,0
0.5,0,far_field_global,0,4,0,0
0.5,0,far_field_global,0,5,0,0
0.5,0,far_field_global,0,6,0.00309936138115051,6.16676887851091e-09
0.5,45,near_field,1,1,188.076080691136,0.00374213129276287
0.5,45,near_field,1,2,187.971515181949,0.00374005076310361
0.5,45,near_field,1,3,19045.0732517544,0.378937950676414
0.5,45,near_field,1,4,1.50986094739329,3.00415548760811e-06
0.5,45,near_field,1,5,-1.5116680224292,-3.00775100704652e-06
0.5,45,near_field,1,6,0.00196515301128581,3.91004563237178e-09
0.5,45,far_field_global,0,1,-82.6163235989754,-0.00164380887083915
0.5,45,far_field_global,0,2,-82.616322766804,-0.00164380885428151
0.5,45,far_field_global,0,3,0,0
0.5,45,far_field_global,0,4,0,0
0.5,45,far_field_global,0,5,0,0
0.5,45,far_field_global,0,6,-0.000466596646072829,-9.28382760822611e-10
0.5,90,near_field,1,1,0.187940641014092,3.73943646282017e-06
0.5,90,near_field,1,2,272.161980751966,0.00541518018202862
0.5,90,near_field,1,3,19045.3346454442,0.37894315160097
0.5,90,near_field,1,4,-1.6925753377112,-3.36770051424528e-06
0.5,90,near_field,1,5,-0.00537114484517644,-1.06869141090327e-08
0.5,90,near_field,1,6,0.00307124382927025,6.11082366188349e-09
0.5,90,far_field_global,0,1,-4.6712670984749e-06,-9.2943742350541e-11
0.5,90,far_field_global,0,2,-116.836684490262,-0.0023246880282011
0.5,90,far_field_global,0,3,0,0
0.5,90,far_field_global,0,4,0,0
0.5,90,far_field_global,0,5,0,0
0.5,90,far_field_global,0,6,-0.0036516433995822,-7.26563898257133e-09
0.6,0,near_field,1,1,313.230476652364,0.00623231600860917
0.6,0,near_field,1,2,0.174505223089497,3.47211327285249e-06
0.6,0,near_field,1,3,24054.6705567796,0.478613415894458
0.6,0,near_field,1,4,-0.00140048429603935,-2.78652983939963e-09
0.6,0,near_field,1,5,1.18898574329285,2.3657132476787e-06
0.6,0,near_field,1,6,0.0033220959631941,6.60994168729278e-09
0.6,0,far_field_global,0,1,18.1975789746442,0.000362075440339335
0.6,0,far_field_global,0,2,-1.87675714391993e-05,-3.73416524385816e-10
0.6,0,far_field_global,0,3,0,0
0.6,0,far_field_global,0,4,0,0
