legacy_panel_id,legacy_merged_global_panel_id,node_ids,unique_vertex_count,boundary_group,boundary_type,centroid_x_m,centroid_y_m,centroid_z_m,radius_m,theta_rad,benchmark_nx,benchmark_ny,benchmark_nz,benchmark_ntheta
429,2845,323|333|328|328,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,62.1434062466667,9.239497982,-43.3333333333333,62.8265171953502,0.147599002022285,-0.951548860937695,-0.15801544254812,0.263791366736094,-0.0163590806078051
401,2817,198|200|212|212,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,9.239497982,-62.1434062466667,-43.3333333333333,62.8265171953502,-1.42319732477261,-0.15801544254812,0.951548860937695,0.263791366736094,-0.0163590806078049
373,2789,50|40|45|45,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,-62.1434062466667,-9.239497982,-43.3333333333333,62.8265171953502,-2.99399365156751,0.951548860937695,0.15801544254812,0.263791366736094,-0.0163590806078049
457,2873,175|173|161|161,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,-9.239497982,62.1434062466667,-43.3333333333333,62.8265171953502,1.71839532881718,0.15801544254812,-0.951548860937695,0.263791366736094,-0.0163590806078048
458,2874,175|161|163|163,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,-11.38814759,60.8538658133333,-46.6666666666667,61.910280971409,1.75579576833507,0.1614723332093,-0.950358089094783,0.265981555939613,0.0160975280460676
402,2818,198|212|210|210,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,11.38814759,-60.8538658133333,-46.6666666666667,61.910280971409,-1.38579688525473,-0.1614723332093,0.950358089094783,0.265981555939613,0.0160975280460675
430,2846,323|328|316|316,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,60.8538658133333,11.38814759,-46.6666666666667,61.910280971409,0.184999441540171,-0.950358089094783,-0.1614723332093,0.265981555939613,0.0160975280460674
374,2790,50|45|57|57,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,-60.8538658133333,-11.38814759,-46.6666666666667,61.910280971409,-2.95659321204962,0.950358089094783,0.1614723332093,0.265981555939613,0.0160975280460673
223,2639,201|202|214|214,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,9.89351377,-67.5867817833333,-23.3333333333333,68.3070617619079,-1.42544626065345,-0.154898874844484,0.952049861036971,0.263832144878894,-0.0153717348634034
253,2669,344|355|352|352,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,67.5867817833333,9.89351377,-23.3333333333333,68.3070617619079,0.145350066141443,-0.952049861036971,-0.154898874844484,0.263832144878894,-0.0153717348634033
283,2699,172|171|159|159,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,-9.89351377,67.5867817833333,-23.3333333333333,68.3070617619079,1.71614639293634,0.154898874844484,-0.952049861036971,0.263832144878894,-0.0153717348634033
193,2609,29|18|21|21,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,-67.5867817833333,-9.89351377,-23.3333333333333,68.3070617619079,-2.99624258744835,0.952049861036971,0.154898874844484,0.263832144878894,-0.0153717348634032
284,2700,172|159|160|160,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,-12.082085454,66.2992675766667,-26.6666666666667,67.3911690811207,1.75105383794032,0.157925680604031,-0.951008331695512,0.265786817678138,0.0151326500092279
194,2610,29|21|32|32,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,-66.2992675766667,-12.082085454,-26.6666666666667,67.3911690811207,-2.96133514244437,0.951008331695512,0.157925680604031,0.265786817678138,0.0151326500092278
224,2640,201|214|213|213,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,12.082085454,-66.2992675766667,-26.6666666666667,67.3911690811207,-1.39053881564947,-0.157925680604031,0.951008331695512,0.265786817678138,0.0151326500092278
254,2670,344|352|341|341,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,66.2992675766667,12.082085454,-26.6666666666667,67.3911690811207,0.180257511145425,-0.951008331695512,-0.157925680604031,0.265786817678138,0.0151326500092277
1,2417,9|3|5|5,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,-73.0302883166667,-10.5427440946667,-3.33333333333333,73.7873462367437,-2.99822188021029,0.952484032419234,0.152147735400248,0.263865940581523,-0.0144956775044342
33,2449,203|204|216|216,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,10.5427440946667,-73.0302883166667,-3.33333333333333,73.7873462367437,-1.42742555341539,-0.152147735400248,0.952484032419234,0.263865940581523,-0.014495677504434
65,2481,364|370|368|368,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,73.0302883166667,10.5427440946667,-3.33333333333333,73.7873462367437,0.143370773379503,-0.952484032419234,-0.152147735400248,0.263865940581523,-0.014495677504434
97,2513,170|169|157|157,3,FARFIELD_LEGACY_UNEQUAL_ZIPPER,5,-10.5427440946667,73.0302883166667,-3.33333333333333,73.7873462367437,1.7141671001744,0.152147735400248,-0.952484032419234,0.263865940581523,-0.0144956775044339
