omega_rad_s,F3_real_N_per_m,F3_imag_N_per_m,A33_kg,B33_kg_s,RAO3_real_m_per_m,RAO3_imag_m_per_m,RAO3_abs_m_per_m,RAO3_phase_deg,D3_real_N_per_m,D3_imag_N_per_m,D3_abs_N_per_m,raw_rcond,scaled_rcond,relative_residual,RAO3_unwrapped_phase_deg,RAO3_normalized_complex_step,RAO3_amplitude_relative_step,phase_blocking_protected
1.3,294843.19563505,72367.979689611,101795.531647157,51549.581470864,1.70953684083866,-0.260023280127707,1.72919874982403,-8.6484920058346,162276.629761436,67014.4559121231,175569.478748238,1.99330770735485e-05,4.41441260925003e-05,7.93524940663916e-15,-8.6484920058346,NaN,NaN,0
1.32,273333.978399064,70528.4440045206,107355.478937358,49343.6412010672,1.86508846078804,-0.382536911470825,1.90391424575855,-11.5908388855424,133193.666144678,65133.6063854088,148266.447255707,2.12409143580952e-05,4.79432326270649e-05,8.93884207203863e-15,-11.5908388855424,0.103998795694082,0.0917664733712349,0
1.34,251920.52556793,70113.819422943,112553.808144197,48193.0454010035,2.05185175312884,-0.600661000887857,2.13796381045272,-16.3169137592308,103872.333941409,64578.6808373447,122310.538291381,2.23532509193507e-05,5.14357168327715e-05,5.50511991505215e-15,-16.3169137592308,0.134312907164441,0.109473118090156,0
1.36,230554.754502,71069.1553622334,117445.135277411,48006.9792758636,2.22571230155245,-0.999860162401302,2.43998270355326,-24.1911197574796,74256.8536360305,65289.4918151745,98877.6923952343,2.31239410023804e-05,5.42593272540325e-05,1.4011502318467e-14,-24.1911197574796,0.178450618405988,0.123779112311215,0
1.38,209195.922736339,73433.0746591379,122075.113651268,48762.8824016747,2.18907551131073,-1.66769229225368,2.75195370162048,-37.3010540259348,44298.2782076562,67292.7777143111,80564.6037951568,2.34936020101394e-05,5.62306587884146e-05,4.2941054197957e-15,-37.3010540259348,0.243040538245903,0.113363461704867,0
1.4,187828.225899722,77337.7634266826,126473.342867513,50500.9143892007,1.55798333797427,-2.34879061760612,2.81853320838339,-56.4431662568089,13970.446224805,70701.2801448809,72068.3313380093,2.41191261009035e-05,5.80722053551067e-05,2.95166079338346e-15,-56.4431662568089,0.329438131955487,0.0236220409129401,0
1.42,166483.095587677,83015.7057978799,130645.514216741,53323.3642546666,0.582765291612052,-2.32729832320343,2.39915253168555,-75.9419615533889,-16710.0182215057,75719.1772416266,77541.076282909,2.38047550111689e-05,5.84892959680566e-05,1.24762563772007e-14,-75.9419615533889,0.346085986548557,0.148793945535375,0
1.44,145281.603073027,90814.9777377658,134558.218979976,57399.5206607931,0.0641958127999877,-1.79468508110392,1.79583285489436,-87.9514057037627,-47645.6030317488,82655.309751542,95404.4219016202,2.34013650697033e-05,5.86755442291577e-05,4.2397264706426e-15,-87.9514057037627,0.309844727505816,0.25147199639171,0
1.46,124500.627033262,101210.343988927,138116.431343987,62967.6703900757,-0.0328808787356325,-1.32614515235722,1.32655271938471,-91.4203193835443,-78598.6172077126,91932.7987695105,120951.98268966,2.31206902712333e-05,5.91963985962792e-05,1.0059122328125e-14,-91.4203193835443,0.266445124065481,0.26131615435739,0
1.48,104687.023262787,114797.026891799,141125.163167625,70326.4329309309,0.0232364332789653,-1.03015606673856,1.03041809653644,-88.7078425490945,-109088.816757236,104083.120737778,150776.874765359,2.31031239000888e-05,6.03443524669557e-05,3.47473737263275e-15,-88.7078425490945,0.227101288740548,0.223236226137794,0
1.5,86836.193738561,132222.104642787,143231.901730289,79789.4828056507,0.114296328673491,-0.857554600460034,0.865137875438596,-82.4082637633272,-138233.340648021,119684.224208476,182846.301551594,2.31950141753968e-05,6.18624988260384e-05,1.22286403229452e-14,-82.4082637633272,0.189388268047222,0.160401124216863,0
