omega_rad_s,physical_k_per_m,kappa_real_per_m,kappa_imag_per_m,kR_top,kR_bottom,raw_rcond,scaled_rcond,radiation_linear_relative_residual,diffraction_linear_relative_residual,radiation_algebraic_relative_residual,diffraction_algebraic_relative_residual,bem_unknown_count,assembly_runtime_s,total_runtime_s,status
0.5,0.0285926064616713,0.024464744431862,-0.0258867998176239,13.1382227435926,9.9966300900028,7.31648240798383e-06,1.11217979550524e-05,1.46380656168969e-15,2.33799124486305e-15,1.46380656168969e-15,2.33799124486305e-15,3152,54.5356286,58.0110253,PASS
0.6,0.0383334964530072,0.0342966103502954,-0.0497813135681269,13.3330405434193,10.1914478898295,7.65473717574108e-06,1.32814395152133e-05,7.9938194455553e-15,1.28523953583136e-14,7.9938194455553e-15,1.28523953583136e-14,3008,42.3099285,44.37743,PASS
0.7,0.0506040120450466,0.0507099699804843,-0.0643192639196051,13.5784508552601,10.4368582016703,1.7083778385732e-05,3.35738499348801e-05,1.58383802738159e-15,4.25053715907536e-15,1.58383802738159e-15,4.25053715907536e-15,2936,39.7165016,41.4317229,PASS
0.8,0.0654497126595601,0.0654014464583478,-0.0828227605065714,13.8753648675504,10.7337722139606,1.80894959633463e-05,3.60690071821659e-05,8.37700800328916e-15,1.85023841741961e-14,8.37700800328916e-15,1.85023841741961e-14,2864,57.4476964,60.2723958,PASS
0.9,0.082639584334092,0.0825285734026043,-0.105178793183458,14.219162301041,11.0775696474512,2.62982274029519e-05,4.73744705160868e-05,4.57517874827355e-15,1.39836395082997e-14,4.57517874827355e-15,1.39836395082997e-14,2792,109.7462613,113.2202658,PASS
1,0.10197921798654,0.101982484686764,-0.129840058463371,14.60595497409,11.4643623205002,2.195410744582e-05,3.67896266267237e-05,9.02098070679407e-15,1.59102036944752e-14,9.02098070679407e-15,1.59102036944752e-14,2792,112.3397413,115.1601246,PASS
1.1,0.123386742403901,0.123384578368674,-0.157098129629777,15.0341054624372,11.8925128088474,1.72094832102514e-05,3.10403086805893e-05,5.73381497353709e-15,1.75915301422878e-14,5.73381497353709e-15,1.75915301422878e-14,2840,117.6984183,120.9727006,PASS
1.2,0.146839257900979,0.146839232479472,-0.186961566866744,15.5031557723788,12.361563118789,1.90107771681842e-05,3.74751024025377e-05,9.63898249288927e-15,2.37141854749072e-14,9.63898249288927e-15,2.37141854749072e-14,2840,116.7212553,119.6166129,PASS
1.3,0.172332051294095,0.172332029413036,-0.219419953217754,16.0130116402411,12.8714189866513,1.99330770735485e-05,4.41441260925003e-05,7.93524940663916e-15,1.85808011733379e-14,7.93524940663916e-15,1.85808011733379e-14,2820,67.3984219,69.4378207,PASS
1.4,0.199864378578826,0.199864378867013,-0.254475230079662,16.5636581859357,13.4220655323459,2.41191261009035e-05,5.80722053551067e-05,2.95166079338346e-15,7.5757377818355e-15,2.95166079338346e-15,7.5757377818355e-15,2752,89.4532491,92.0756982,PASS
1.5,0.229436147969854,0.22943614783942,-0.292127176526184,17.1550935737563,14.0135009201665,2.31950141753968e-05,6.18624988260384e-05,1.22286403229452e-14,6.43173832500155e-15,1.22286403229452e-14,6.43173832500155e-15,2752,99.5161434,101.3965043,PASS
1.6,0.261047350524752,0.261047350524716,-0.332375809730311,17.7873176248542,14.6457249712644,2.00552896739947e-05,6.02828986292521e-05,1.85200384492684e-14,1.38776368794345e-14,1.85200384492684e-14,1.38776368794345e-14,2752,99.5574573,101.1651713,PASS
1.7,0.294697985550715,0.294697985550692,-0.375221128956976,18.4603303253735,15.3187376717837,1.67459495301741e-05,5.30751216412744e-05,6.14110689568113e-15,4.6395861240594e-15,6.14110689568113e-15,4.6395861240594e-15,2752,102.7414079,105.1561438,PASS
1.8,0.330388053004852,0.330388053004844,-0.420663134193832,19.1741316744562,16.0325390208664,1.68169184898231e-05,5.07447141963134e-05,3.73691888034292e-15,3.22207309573273e-15,3.73691888034292e-15,3.22207309573273e-15,2752,105.8631253,108.8783303,PASS
1.9,0.368117552885032,0.368117552885032,-0.46870182544436,19.9287216720598,16.78712901847,1.61274131096583e-05,4.62431905027791e-05,6.59984065057116e-15,3.5657388670359e-15,6.59984065057116e-15,3.5657388670359e-15,2820,111.9284502,115.4317482,PASS
2,0.407886485191171,0.407886485191171,-0.519337202708433,20.7241003181826,17.5825076645928,1.46921830822862e-05,4.02040969549116e-05,3.76531974861944e-15,1.03960487038184e-14,3.76531974861944e-15,1.03960487038184e-14,2820,111.4705172,114.566568,PASS
