omega_rad_s,radius_factor,q_top,q_bottom,top_radius_m,bottom_radius_m,physical_k_per_m,kappa_real_per_m,kappa_imag_per_m,kR_top,kR_bottom,abs_kappa_R_top,raw_rcond,scaled_rcond,radiation_linear_relative_residual,diffraction_linear_relative_residual,radiation_algebraic_relative_residual,diffraction_algebraic_relative_residual,maximum_abs_outer_ntheta,maximum_outer_column_residual,A33_raw_kg,A33_kg,B33_raw_kg_s,B33_kg_s,F3_real_N_per_m,F3_imag_N_per_m,F3_abs_N_per_m,F3_phase_deg,RAO3_real_m_per_m,RAO3_imag_m_per_m,RAO3_abs_m_per_m,RAO3_phase_deg,RAO_matrix_rcond,body_panel_count,free_surface_panel_count,bottom_panel_count,farfield_panel_count,bem_unknown_count,body_geometry_hash,free_surface_geometry_hash,bottom_geometry_hash,farfield_geometry_hash,combined_geometry_hash,legacy_theta_count,top_theta_count,bottom_theta_count,common_wall_theta_count,top_radial_layer_count,bottom_radial_layer_count,wall_vertical_layer_count,top_theta_spacing_m,bottom_theta_spacing_m,top_radial_spacing_m,bottom_radial_spacing_m,wall_slant_spacing_m,assembly_runtime_s,total_runtime_s,A33_absolute_difference_kg,A33_relative_sensitivity,B33_absolute_difference_kg_s,B33_relative_sensitivity,F3_absolute_difference_N_per_m,F3_relative_sensitivity,RAO3_absolute_difference_m_per_m,RAO3_relative_sensitivity,A33_floor_kg,B33_floor_kg_s,F3_floor_N_per_m,RAO3_floor_m_per_m,status,error_identifier,error_message
0.5,1,2,1.5,459.497204677879,349.622903508409,0.0285926064616713,0.024464744431862,-0.0258867998176239,13.1382227435926,9.9966300900028,16.3664243349055,7.31648240798383e-06,1.11217979550524e-05,1.46380656168969e-15,2.33799124486305e-15,1.46380656168969e-15,2.33799124486305e-15,7.84172002181954e-16,0,352131.389539448,352131.389539448,36451.1285708786,36451.1285708786,636235.845553037,18256.0254869445,636497.709055711,1.64358278893806,1.0055840313639,-8.4225356070564e-05,1.00558403489116,-0.0047989598770774,0.151871583953819,588,680,1164,720,3152,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,1fdadfc1181863cfe27600a6d55d4cff7d3f38c7f487095e8d2a3f0c34fd626e,f554dad3c42e85e109b77342c488d7fe201819b107c1b3b7bd9039e04f415a76,30558f07fe4f4e956abca89a6790a7bcb41dda4b31cf814e2fac2b7a03b9d80d,3dcf4473a1f08652b99382821a95d4b834c90db28c7e97e910c4330f11612f1a,56,72,56,72,1,1,10,40.0859731282669,39.2070251281641,109.87430116947,201.93181650617,12.0716038940479,54.5356286,58.0110253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
0.6,1,2,1.5,347.816968894664,265.862726670998,0.0383334964530072,0.0342966103502954,-0.0497813135681269,13.3330405434193,10.1914478898295,21.0262094193352,7.65473717574108e-06,1.32814395152133e-05,7.9938194455553e-15,1.28523953583136e-14,7.9938194455553e-15,1.28523953583136e-14,1.29324454316881e-15,0,66110.7347257322,66110.7347257322,73275.3574121985,73275.3574121985,674082.900165322,44311.4568232365,675537.757272744,3.76097944280191,1.01004331317816,-0.000172587277362934,1.01004332792326,-0.0097901964849376,0.153728229722991,588,680,1164,576,3008,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,1e7259120f71c4df1ef627c9c90a5bd5310f7b2783dc7d8b089ea82dd0a13b25,b9e2b4006911cb5f2c9a3843dd3a45fb5fd6501913e68e912513ab82b0dbbd06,4788e12f86ac94cae652df76b1ab55dda05d8a71786a3bcf71a2d8e1099a7a64,747c5e129be3269e58d158b2c59871cc7dcbf4b9c4d1a5f23e5986568f5c3d9e,56,72,56,72,1,1,8,30.3431261969067,29.8140839762843,81.954242223666,139.861735635182,12.0003240961803,42.3099285,44.37743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
0.7,1,2,1.5,268.327555593277,206.245666694958,0.0506040120450466,0.0507099699804843,-0.0643192639196051,13.5784508552601,10.4368582016703,21.9774335391252,1.7083778385732e-05,3.35738499348801e-05,1.58383802738159e-15,4.25053715907536e-15,1.58383802738159e-15,4.25053715907536e-15,1.07544295935947e-15,0,146124.396332258,146124.396332258,22693.7537470557,22693.7537470557,595973.410565717,16159.5484129601,596192.449722607,1.55316849061207,1.01924880929248,-0.000125450546172884,1.0192488170128,-0.00705204335927627,0.157415062169942,588,680,1164,504,2936,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,791c0dd4eb4cc1f8ded5ac636d1aebc9ffb401cc696a6bdf8d299f4c0cc5e422,ea2e008b33c53493374969ab01a1b5961997517de5b39c507f3ff2fd087e46e8,d343328992eb5311627d3fb8092e01c9074c1ce42e9f8a40415e94082a86c886,17bde32749013b8d66502141baa2357ebf759b7ba0beb81dc6766fcffcbb1a86,56,72,56,72,1,1,7,23.4085671764338,23.1285735446382,62.0818888983193,98.250755973864,11.3875701383922,39.7165016,41.4317229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
0.8,1,2,1.5,212.000393947087,164.000295460315,0.0654497126595601,0.0654014464583478,-0.0828227605065714,13.8753648675504,10.7337722139606,22.3727812108033,1.80894959633463e-05,3.60690071821659e-05,8.37700800328916e-15,1.85023841741961e-14,8.37700800328916e-15,1.85023841741961e-14,1.70692403022572e-15,0,182832.111666045,182832.111666045,21630.2928264955,21630.2928264955,517354.819308217,17629.0787963611,517655.09123416,1.95162218147697,1.03655079240933,-0.000632517864652282,1.03655098539496,-0.0349626857442933,0.15510060996269,588,680,1164,432,2864,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,d05fd01cfdf234e83ff45d18e152932510b1cb7e0875d15dbeedb4d079ece897,1265a2d73d4ea09a472b78844f57df02a38f670ac33ee052dc8c82c6c74c59e6,9da6040f42ff5cde738ab14402e1558d68ca7d50a6b200db92f6702877991031,0dd3974ddb08bd06ed2f2a6e981957a8137156a362f1644bc1ca62fcb39ec9f4,56,72,56,72,1,1,6,18.4946546103636,18.3911398269829,48.0000984867717,70.8668155567296,11.5518270016524,57.4476964,60.2723958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
0.9,1,2,1.5,172.062364732576,134.046773549432,0.082639584334092,0.0825285734026043,-0.105178793183458,14.219162301041,11.0775696474512,23.0033572252699,2.62982274029519e-05,4.73744705160868e-05,4.57517874827355e-15,1.39836395082997e-14,4.57517874827355e-15,1.39836395082997e-14,1.82678785824287e-15,0,216339.397775924,216339.397775924,36643.9692877427,36643.9692877427,423197.311458286,33834.1392768194,424547.657402705,4.57100932744009,1.07044713058204,-0.00370161635703847,1.07045353067519,-0.198128560687454,0.156631398103525,588,680,1164,360,2792,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,ec29938ed080e05e11f2e3af17ccb6f0864294432674be7a7ffcc35f42c786a5,788ce8ab3ea312fa92c71904abc0a5797e88c6faf05fde08eed994255f5a41d8,9637438df94df9bc6a631681b1ad2f73a958724e554f36c5c7b49ab86aa7af6f,7b805ada4218d6349c24de650ba7635de4f571e8b4aed97e58b13c88ffa391c8,56,72,56,72,1,1,5,15.0105098765319,15.0321250872384,38.015591183144,52.8181374617125,12.5621418126113,109.7462613,113.2202658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
1,1,2,1.5,143.224818374443,112.418613780832,0.10197921798654,0.101982484686764,-0.129840058463371,14.60595497409,11.4643623205002,23.6467896543393,2.195410744582e-05,3.67896266267237e-05,9.02098070679407e-15,1.59102036944752e-14,9.02098070679407e-15,1.59102036944752e-14,1.335396859514e-15,0,252894.861021995,252894.861021995,106777.364054783,106777.364054783,307216.522753909,110724.859433216,326560.846320419,19.8198269456401,1.13646327578524,-0.0398323166425523,1.13716111024675,-2.00735899701911,0.107008072108386,588,680,1164,360,2792,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,2a4a26f92e133029421223bf9ebdefb07145604cf10b5861985e3e3130bc67f7,91cef00bec2df431c0a3fb735df509b490e2ced70157437716fd12856423031f,39118d884f95d6666d57be09a1ee72f32b08901ad8a9f98f5d3dfdb85d50f297,5574c1ba55305f5729e4eab9467843e3283c97feca77c8b6efe1a094c70bde6c,56,72,56,72,1,1,5,12.4947576660095,12.6067239049528,30.8062045936108,40.6073817411454,11.7456753598308,112.3397413,115.1601246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
1.1,1,2,1.5,121.845387677257,96.3840407579427,0.123386742403901,0.123384578368674,-0.157098129629777,15.0341054624372,11.8925128088474,24.3396879201345,1.72094832102514e-05,3.10403086805893e-05,5.73381497353709e-15,1.75915301422878e-14,5.73381497353709e-15,1.75915301422878e-14,2.02642965655906e-15,0,108192.056367611,108192.056367611,221715.358605603,221715.358605603,399555.813611379,256123.380192847,474598.813812319,32.6606950840479,1.14931042733151,-0.0727817437832802,1.15161262610354,-3.62349951069238,0.126923671890839,588,680,1212,360,2840,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,9d801f50d183d1706264865970698155f91e22bfd7c1506ffd89d344da7f94f9,de9be256e0a52ec8cc7894de0d41e995abecfc20c158ff248e96007c06b6d07f,ce0808dd6b4992f7e602d877ffcde0d1c0a4900079ffc603b5c71c2ca2f001bb,6f05a9d87187d649a27b9a605834387046ad6d3b7c0affcd96b25b9655b3646f,56,72,56,72,1,1,5,10.6296423275476,10.8085925436511,25.4613469193143,32.0532780793394,11.2219074794719,117.6984183,120.9727006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
1.2,1,2,1.5,105.579093724604,84.184320293453,0.146839257900979,0.146839232479472,-0.186961566866744,15.5031557723788,12.361563118789,25.0995033190793,1.90107771681842e-05,3.74751024025377e-05,9.63898249288927e-15,2.37141854749072e-14,9.63898249288927e-15,2.37141854749072e-14,1.59860000034514e-15,0,68027.7647135733,68027.7647135733,89063.5205386267,89063.5205386267,402694.203407202,113803.097870333,418465.968201293,15.7805180289668,1.29816058137909,-0.0821897010280198,1.30075979412095,-3.62269971011203,0.083254615317892,588,680,1212,360,2840,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,a5adf7c55be6e949f07883f7c6081287c714c70f2e96b486a96ee05242c274ff,4ffd966be61881ed4044e6bbf37c31f46dbbe8f06b25fdc1252108787d4c3840,c94ba021fa85661597348100e09cf83d6adb4f01256a9d32155b481a6cd7b6b1,03c0e9850dbbe852b6182808e31cdb83c2974a05c0a990a91ed7981ce6932350,56,72,56,72,1,1,5,9.21059077370924,9.44050497842582,21.394773431151,25.8610528360701,10.8770149033092,116.7212553,119.6166129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
1.3,1,2,1.5,92.9195208900167,74.6896406675125,0.172332051294095,0.172332029413036,-0.219419953217754,16.0130116402411,12.8714189866513,25.9249533445429,1.99330770735485e-05,4.41441260925003e-05,7.93524940663916e-15,1.85808011733379e-14,7.93524940663916e-15,1.85808011733379e-14,2.24922017496166e-15,0,101795.531647157,101795.531647157,51549.581470864,51549.581470864,294843.195635018,72367.979689588,303594.52316638,13.7903861657977,1.70953684083844,-0.260023280127756,1.72919874982382,-8.64849200583733,0.0387141816606093,588,680,1212,340,2820,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,6754c6db02eae9312008fc9281d06c92c1af1423e459ef86d2b75c095394372b,804fab9939032122386f92233802f44a54e694cd1b8595805cf58331410a4c1a,db7259ea7e895afb02ffe959d366d553b4952d25dcc56b7c452519f73242e2b6,d586f9e659c71dc8e4f169727f5914c441d45a62bebfc444266d238bcaf5c5af,56,68,56,68,1,1,5,8.58268970081204,8.37576311242515,18.2298802225042,21.2512943652633,10.6439250897906,67.3984219,69.4378207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
1.4,1,2,1.5,82.8744887093675,67.1558665320257,0.199864378578826,0.199864378867013,-0.254475230079662,16.5636581859357,13.4220655323459,26.8164497427985,2.41191261009035e-05,5.80722053551067e-05,2.95166079338346e-15,7.5757377818355e-15,2.95166079338346e-15,7.5757377818355e-15,2.21980515495638e-15,0,126473.342867513,126473.342867513,50500.9143892007,50500.9143892007,187828.22589974,77337.7634266859,203126.98515088,22.3792819612126,1.55798333797436,-2.34879061760636,2.81853320838364,-56.44316625681,0.0137023848301424,588,680,1212,272,2752,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,93686fc87cc2f181ed55cb0a7954f27db118fc951e2e1db890cd955d51aa52ee,a15bfa5998e3692b18ea31d0d182bc3feb95a004bff2e5d02b806e960b8eb24d,08d6cad159c476104750770781a01de68d49c2a493515e9be32b2cd9f3c4a534,2da53ed926235b868e19ae2352dafe4fe5e53ff284cd319f735d376a7c9a418f,56,68,56,68,1,1,4,7.65486104419178,7.53091894210368,15.7186221773419,17.7376354618215,13.1031367503024,89.4532491,92.0756982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
