omega_rad_s,radius_factor,q_top,q_bottom,top_radius_m,bottom_radius_m,physical_k_per_m,kappa_real_per_m,kappa_imag_per_m,kR_top,kR_bottom,abs_kappa_R_top,raw_rcond,scaled_rcond,radiation_linear_relative_residual,diffraction_linear_relative_residual,radiation_algebraic_relative_residual,diffraction_algebraic_relative_residual,maximum_abs_outer_ntheta,maximum_outer_column_residual,A33_raw_kg,A33_kg,B33_raw_kg_s,B33_kg_s,F3_real_N_per_m,F3_imag_N_per_m,F3_abs_N_per_m,F3_phase_deg,RAO3_real_m_per_m,RAO3_imag_m_per_m,RAO3_abs_m_per_m,RAO3_phase_deg,RAO_matrix_rcond,body_panel_count,free_surface_panel_count,bottom_panel_count,farfield_panel_count,bem_unknown_count,body_geometry_hash,free_surface_geometry_hash,bottom_geometry_hash,farfield_geometry_hash,combined_geometry_hash,legacy_theta_count,top_theta_count,bottom_theta_count,common_wall_theta_count,top_radial_layer_count,bottom_radial_layer_count,wall_vertical_layer_count,top_theta_spacing_m,bottom_theta_spacing_m,top_radial_spacing_m,bottom_radial_spacing_m,wall_slant_spacing_m,assembly_runtime_s,total_runtime_s,A33_absolute_difference_kg,A33_relative_sensitivity,B33_absolute_difference_kg_s,B33_relative_sensitivity,F3_absolute_difference_N_per_m,F3_relative_sensitivity,RAO3_absolute_difference_m_per_m,RAO3_relative_sensitivity,A33_floor_kg,B33_floor_kg_s,F3_floor_N_per_m,RAO3_floor_m_per_m,status,error_identifier,error_message
0.5,1,2,1.5,459.497204677879,349.622903508409,0.0285926064616713,0.024464744431862,-0.0258867998176239,13.1382227435926,9.9966300900028,16.3664243349055,7.31648240798383e-06,1.11217979550524e-05,1.46380656168969e-15,2.33799124486305e-15,1.46380656168969e-15,2.33799124486305e-15,7.84172002181954e-16,0,352131.389539448,352131.389539448,36451.1285708786,36451.1285708786,636235.845553037,18256.0254869445,636497.709055711,1.64358278893806,1.0055840313639,-8.4225356070564e-05,1.00558403489116,-0.0047989598770774,0.151871583953819,588,680,1164,720,3152,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,1fdadfc1181863cfe27600a6d55d4cff7d3f38c7f487095e8d2a3f0c34fd626e,f554dad3c42e85e109b77342c488d7fe201819b107c1b3b7bd9039e04f415a76,30558f07fe4f4e956abca89a6790a7bcb41dda4b31cf814e2fac2b7a03b9d80d,3dcf4473a1f08652b99382821a95d4b834c90db28c7e97e910c4330f11612f1a,56,72,56,72,1,1,10,40.0859731282669,39.2070251281641,109.87430116947,201.93181650617,12.0716038940479,54.5356286,58.0110253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
0.6,1,2,1.5,347.816968894664,265.862726670998,0.0383334964530072,0.0342966103502954,-0.0497813135681269,13.3330405434193,10.1914478898295,21.0262094193352,7.65473717574108e-06,1.32814395152133e-05,7.9938194455553e-15,1.28523953583136e-14,7.9938194455553e-15,1.28523953583136e-14,1.29324454316881e-15,0,66110.7347257322,66110.7347257322,73275.3574121985,73275.3574121985,674082.900165322,44311.4568232365,675537.757272744,3.76097944280191,1.01004331317816,-0.000172587277362934,1.01004332792326,-0.0097901964849376,0.153728229722991,588,680,1164,576,3008,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,1e7259120f71c4df1ef627c9c90a5bd5310f7b2783dc7d8b089ea82dd0a13b25,b9e2b4006911cb5f2c9a3843dd3a45fb5fd6501913e68e912513ab82b0dbbd06,4788e12f86ac94cae652df76b1ab55dda05d8a71786a3bcf71a2d8e1099a7a64,747c5e129be3269e58d158b2c59871cc7dcbf4b9c4d1a5f23e5986568f5c3d9e,56,72,56,72,1,1,8,30.3431261969067,29.8140839762843,81.954242223666,139.861735635182,12.0003240961803,42.3099285,44.37743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
1.2,1,2,1.5,105.579093724604,84.184320293453,0.146839257900979,0.146839232479472,-0.186961566866744,15.5031557723788,12.361563118789,25.0995033190793,1.90107771681842e-05,3.74751024025377e-05,9.63898249288927e-15,2.37141854749072e-14,9.63898249288927e-15,2.37141854749072e-14,1.59860000034514e-15,0,68027.7647135733,68027.7647135733,89063.5205386267,89063.5205386267,402694.203407202,113803.097870333,418465.968201293,15.7805180289668,1.29816058137909,-0.0821897010280198,1.30075979412095,-3.62269971011203,0.083254615317892,588,680,1212,360,2840,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,a5adf7c55be6e949f07883f7c6081287c714c70f2e96b486a96ee05242c274ff,4ffd966be61881ed4044e6bbf37c31f46dbbe8f06b25fdc1252108787d4c3840,c94ba021fa85661597348100e09cf83d6adb4f01256a9d32155b481a6cd7b6b1,03c0e9850dbbe852b6182808e31cdb83c2974a05c0a990a91ed7981ce6932350,56,72,56,72,1,1,5,9.21059077370924,9.44050497842582,21.394773431151,25.8610528360701,10.8770149033092,116.7212553,119.6166129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
1.4,1,2,1.5,82.8744887093675,67.1558665320257,0.199864378578826,0.199864378867013,-0.254475230079662,16.5636581859357,13.4220655323459,26.8164497427985,2.41191261009035e-05,5.80722053551067e-05,2.95166079338346e-15,7.5757377818355e-15,2.95166079338346e-15,7.5757377818355e-15,2.21980515495638e-15,0,126473.342867513,126473.342867513,50500.9143892007,50500.9143892007,187828.22589974,77337.7634266859,203126.98515088,22.3792819612126,1.55798333797436,-2.34879061760636,2.81853320838364,-56.44316625681,0.0137023848301424,588,680,1212,272,2752,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,93686fc87cc2f181ed55cb0a7954f27db118fc951e2e1db890cd955d51aa52ee,a15bfa5998e3692b18ea31d0d182bc3feb95a004bff2e5d02b806e960b8eb24d,08d6cad159c476104750770781a01de68d49c2a493515e9be32b2cd9f3c4a534,2da53ed926235b868e19ae2352dafe4fe5e53ff284cd319f735d376a7c9a418f,56,68,56,68,1,1,4,7.65486104419178,7.53091894210368,15.7186221773419,17.7376354618215,13.1031367503024,89.4532491,92.0756982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
2,1,2,1.5,50.8084995963263,43.1063746972448,0.407886485191171,0.407886485191171,-0.519337202708433,20.7241003181826,17.5825076645928,33.5521772136817,1.46921830822862e-05,4.02040969549116e-05,3.76531974861944e-15,1.03960487038184e-14,3.76531974861944e-15,1.03960487038184e-14,1.78375774554682e-15,0,122395.372044986,122395.372044986,55242.2717463884,55242.2717463884,-67699.3500940881,112710.776494279,131479.736617873,120.990991555023,0.10591127478494,-0.130310085388503,0.167922352533932,-50.89704996863,0.0729454228575369,588,748,1212,272,2820,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,a3cc65377da806968d9096832177323d6929e1483abc6e66fa5a447874d30462,4755a62c2830465d865392ddd37172f7523c3b26dd6a9cae85e5cb1d70b63b00,4a25b4d520676187777820ad9745466825f71de7faf69c9cba14bc3c95ce2935,b897dda8c80ff83f3e59dc5fb9250c277345f74b74312158d7927fc75f9ef67f,56,68,56,68,2,1,4,4.69302447991803,4.83398741609696,3.85106244954079,7.55489139499514,12.6474373094934,111.4705172,114.566568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PASS,,
0.5,1.25,2.52275327327128,1.89775327327128,574.371505847348,437.028629385511,0.0285926064616713,0.024464744431862,-0.0258867998176239,16.4227784294907,12.4957876125035,20.4580304186318,7.82373206440968e-06,1.19418016337781e-05,1.76765497096847e-15,3.1521694844546e-15,1.76765497096847e-15,3.1521694844546e-15,8.5017470936164e-16,0,354334.747575436,354334.747575436,35955.3342352411,35955.3342352411,635686.460043459,18037.0199897023,635942.300505866,1.62527909741267,1.00560542891859,-6.28255938033778e-05,1.00560543088112,-0.00357957630511646,0.151873481260062,588,796,1292,1104,3780,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,bcdef9f20a11c37967464b3c810a6b6a6660662b35f0e532b74028d899ebf239,40101dddf113bbff3f6da4386d59e48777986ae486b41b4774c592ca0c4a84d9,405d541a3f80a57b2971473ec848d2ee9281d3b1ee99fa81ef7754ee19413e17,7f54dfda5a7af311db0223f7f8892444ad029e64bf03121f81b84b1f7339ed0b,56,92,72,92,2,1,12,39.2193617376292,38.125842149817,112.37430116947,87.4057258771022,12.1800912566173,201.769083,208.1321418,2203.35803598765,0.00621829513211534,495.794335637467,0.0137891733224808,591.428648238132,0.000930003630467221,3.02622730779788e-05,3.00935855641341e-05,0.352131389539448,0.221715358605603,0.675537757272744,2.81853320838364e-06,PASS,,
0.6,1.25,2.53050482723246,1.90550482723246,434.77121111833,332.328408338747,0.0383334964530072,0.0342966103502954,-0.0497813135681269,16.6663006792741,12.7393098622869,26.282761774169,8.1383256865055e-06,1.41887238714792e-05,2.23161385169514e-15,1.4494959439673e-14,2.23161385169514e-15,1.4494959439673e-14,1.20349925897284e-15,0,65685.1815583341,65685.1815583341,72128.3208743588,72128.3208743588,674303.238625288,43543.2233989041,675707.680823978,3.69475281503924,1.01008295809789,-0.000257495905626047,1.01008299091903,-0.0146061550651841,0.153733374519273,588,796,1292,828,3504,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,34e7b626eeb81b171b0ef36eff3dd7eb30d49afe1aca4768f835fed55a7a6f9a,ed16b7365669452b77db4b9383aac8e0bfe2aec6967d1d3ab73bc5e3cbef2a53,80b9cb66480032f60771dea9be05aea205f91f229151e327b95620f7f46c32d3,4a2db165016f3cb027bf26e1283e76d582d7f7cb05f7fba36ee86e746ebfe102,56,92,72,92,2,1,9,29.6871436489552,28.9919231516668,84.454242223666,66.4656816677495,12.6659492200991,173.2250945,178.3582626,425.553167398059,0.00647867840663774,1147.0365378397,0.015902720650294,799.206876347919,0.00118277015198842,9.37080296126415e-05,9.27726042860901e-05,0.352131389539448,0.221715358605603,0.675537757272744,2.81853320838364e-06,PASS,,
1.2,1.25,2.61685096867443,1.99185096867443,131.973867155755,105.230400366816,0.146839257900979,0.146839232479472,-0.186961566866744,19.3789447154734,15.4519538984862,31.3743791488491,1.7645418994084e-05,3.59928643315505e-05,5.42266804018572e-15,1.56594790513157e-14,5.42266804018572e-15,1.56594790513157e-14,2.04262271012504e-15,0,68010.6840960179,68010.6840960179,89074.5703418335,89074.5703418335,402719.617864021,113815.836021411,418493.889013682,15.7812500179025,1.29813575293199,-0.0821890409992641,1.3007349735825,-3.62273979882723,0.0832617589826746,588,784,1284,440,3096,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,8961385d2835037e86e458c727b34c8b397203ebfe716ad425f4e124cf908e28,4da9cb7d8263de27b20fd69840897b1c81667b74e1d56b1ac0c201ab598e6281,27b3c630c5b2b9c6426a48f2e333475499f7458316f8e1a94bb50957a682e366,d101dba42ea71df545c893446496edae010f6fe87ce441525d1a8c52fa1bfd9a,56,88,72,88,2,1,5,9.42091064908893,9.18017119241911,23.894773431151,21.0460800733632,11.3405696786203,136.8537045,140.6105447,17.0806175554317,0.000251146092448021,11.0498032067699,0.000124051153593725,28.42806902204,6.79294722535616e-05,2.4837218516458e-05,1.90947572110336e-05,0.352131389539448,0.221715358605603,0.675537757272744,2.81853320838364e-06,PASS,,
1.4,1.25,2.65904701899405,2.03404701899405,103.593110886709,83.9448331650321,0.199864378578826,0.199864378867013,-0.254475230079662,20.7045727324196,16.7775819154324,33.5205621784981,2.36137471104358e-05,5.62958967447947e-05,8.79514836748277e-15,4.53388831412479e-15,8.79514836748277e-15,4.53388831412479e-15,2.09723186733883e-15,0,126484.369787038,126484.369787038,50490.7170905502,50490.7170905502,187803.757268633,77318.0779927596,203096.864645198,22.3767749256312,1.55744174877984,-2.34950206489134,2.81882683997635,-56.4603334680534,0.0136989258459284,588,872,1284,440,3184,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,eb1266eacff661449269f4861ecbb00483ffe68bfefe6bc1ea1d688f1e57994e,138012b19fedd181b696d54d4c663cd03b4659f1e3f554eb21f90412f7db92b6,e5e70cb81551ba7d5a27bc678c6f7d204c7d4ddab3e83b2fe535c5aff7f6767d,c6eb9d667083ea248fb9ce8f3cb30e1ec8e9d642a725d89cc74409a094ccb473,56,88,72,88,3,1,5,7.39495979437391,7.32324439028808,12.1457481182279,16.7889666330064,10.7444028543762,143.9168982,148.039286,11.0269195244473,8.71800961890657e-05,10.1972986504916,0.000201963830939531,31.4043025256502,0.000154627214853918,0.00089413427119901,0.000317200850551895,0.352131389539448,0.221715358605603,0.675537757272744,2.81853320838364e-06,PASS,,
2,1.25,2.82458575169277,2.19958575169277,63.5106244954079,53.8829683715559,0.407886485191171,0.407886485191171,-0.519337202708433,25.9051253977282,21.978134580741,41.9402215171021,1.56152720667457e-05,4.59523064376857e-05,6.83350262546548e-15,6.05744252745456e-15,6.83350262546548e-15,6.05744252745456e-15,2.12977322461744e-15,0,122383.687803138,122383.687803138,55267.8093593973,55267.8093593973,-67596.3865238231,112768.944459765,131476.637870185,120.939474483439,0.105806369407134,-0.130400970120227,0.167926772181851,-50.9443841197033,0.072941783873883,588,840,1344,336,3108,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,3aee255619cdda3c4b6fc1eec9e2c96173523daa9ee2e411c770628a87ed9046,de3be8911526b8d55473386afcbfbad292a5d178f7b53d4754ebd0c8279c5a76,b911fe6ded4d212ce088c03c7d793aa590228da72963f69f1b43e97c84929298,a74e27c17b143c31a6d3ee80786fedb952cb3cf143af7639dc4f8538ecb6f4a2,56,84,72,84,3,2,4,4.74947619823713,4.70068413958609,6.80141659938772,5.38829683715559,12.7296203852451,139.9739496,144.0140259,11.6842418479646,9.54722157642401e-05,25.537613008928,0.000462070295619304,118.258230202139,0.000899461928125227,0.000138799037291807,0.000826545020120431,0.352131389539448,0.221715358605603,0.675537757272744,2.81853320838364e-06,PASS,,
