mesh_level,omega_rad_s,component,boundary,boundary_radius_m,panel_count,minimum_sqrt_area_m,maximum_sqrt_area_m,mean_sqrt_area_m,median_sqrt_area_m,body_division_count,fs_radial_counts,bottom_radial_counts
MESH_L1,0.5,free_surface,MESH_TRANSITION_RADIUS,20,64,4.45178808001133,35.6232341051899,20.0369020897013,20.0337548873588,4,4|2,4|2
MESH_L1,0.5,free_surface,LEGACY_TRUNCATION_RADIUS,349.622903508409,96,37.4125861337964,103.032637950145,60.427181027994,38.798425894195,4,4|2,4|2
MESH_L1,0.5,bottom,MESH_TRANSITION_RADIUS,20,64,4.45178808001133,35.6232341051899,20.0369020897013,20.0337548873588,4,4|2,4|2
MESH_L1,0.5,bottom,LEGACY_TRUNCATION_RADIUS,349.622903508409,96,25.7235033205344,103.032637950145,52.829824739822,28.2790492589361,4,4|2,4|2
MESH_L1,0.5,combined,V4_COMBINED_TRANSITION_DEFINITION,NaN,320,4.45178808001133,103.032637950145,41.9918625662253,35.6223203182998,4,4|2,4|2
MESH_L2,0.5,free_surface,MESH_TRANSITION_RADIUS,20,120,0.673076534371323,3.66978814907211,1.88318973773116,1.20358658300776,5,5|3,5|3
MESH_L2,0.5,free_surface,LEGACY_TRUNCATION_RADIUS,349.622903508409,120,30.0436683938668,97.6284995194956,53.3038345306286,30.9293872760417,5,5|3,5|3
MESH_L2,0.5,bottom,MESH_TRANSITION_RADIUS,20,120,0.673076534371323,3.66978814907211,1.88318973773116,1.20358658300776,5,5|3,5|3
MESH_L2,0.5,bottom,LEGACY_TRUNCATION_RADIUS,349.622903508409,120,20.8162559454596,97.6284995194956,47.2863334634929,22.4661102414533,5,5|3,5|3
MESH_L2,0.5,combined,V4_COMBINED_TRANSITION_DEFINITION,NaN,480,0.673076534371323,97.6284995194956,26.089136867396,12.2430220472659,5,5|3,5|3
MESH_L3,0.5,free_surface,MESH_TRANSITION_RADIUS,20,112,2.88986231422463,7.34799123121796,5.11817154771403,5.11739011971333,7,6|4,6|4
MESH_L3,0.5,free_surface,LEGACY_TRUNCATION_RADIUS,349.622903508409,168,21.5558893845835,74.9794493985024,39.7408514832079,22.0100636314673,7,6|4,6|4
MESH_L3,0.5,bottom,MESH_TRANSITION_RADIUS,20,112,2.88986231422463,7.34799123121796,5.11817154771403,5.11739011971333,7,6|4,6|4
MESH_L3,0.5,bottom,LEGACY_TRUNCATION_RADIUS,349.622903508409,168,15.0742097579398,74.9794493985024,35.4937811199297,15.928750067862,7,6|4,6|4
MESH_L3,0.5,combined,V4_COMBINED_TRANSITION_DEFINITION,NaN,560,2.88986231422463,74.9794493985024,24.6176584000269,15.5471052739567,7,6|4,6|4
MESH_L1,2,free_surface,MESH_TRANSITION_RADIUS,20,64,4.45178808001618,6.6659033532315,5.55884571649169,5.55884571648265,4,4|2,4|2
MESH_L1,2,free_surface,LEGACY_TRUNCATION_RADIUS,43.1063746972448,96,4.03729660242566,9.88949642689478,6.14034228619135,4.27260070645891,4,4|2,4|2
MESH_L1,2,bottom,MESH_TRANSITION_RADIUS,20,64,4.45178808001618,6.6659033532315,5.55884571649169,5.55884571648265,4,4|2,4|2
MESH_L1,2,bottom,LEGACY_TRUNCATION_RADIUS,43.1063746972448,96,3.17155129579235,9.88949642689478,5.57568677647348,3.48663454597797,4,4|2,4|2
MESH_L1,2,combined,V4_COMBINED_TRANSITION_DEFINITION,NaN,320,3.17155129579235,9.88949642689478,5.73834700539612,4.45178808039266,4,4|2,4|2
MESH_L2,2,free_surface,MESH_TRANSITION_RADIUS,20,80,3.66978814752647,4.5558487719807,4.11281845988438,4.11281845966772,5,5|3,5|3
MESH_L2,2,free_surface,LEGACY_TRUNCATION_RADIUS,43.1063746972448,120,3.25131778865038,7.6489156585078,4.81588775759889,3.40268170588051,5,5|3,5|3
MESH_L2,2,bottom,MESH_TRANSITION_RADIUS,20,80,3.66978814752647,4.5558487719807,4.11281845988438,4.11281845966772,5,5|3,5|3
MESH_L2,2,bottom,LEGACY_TRUNCATION_RADIUS,43.1063746972448,120,2.56651758101182,7.6489156585078,4.36795470177769,2.76993456761451,5,5|3,5|3
MESH_L2,2,combined,V4_COMBINED_TRANSITION_DEFINITION,NaN,400,2.56651758101182,7.6489156585078,4.40028012176673,3.66978814865298,5,5|3,5|3
MESH_L3,2,free_surface,MESH_TRANSITION_RADIUS,20,112,2.88986231422109,3.23049679221223,3.06017955388392,3.06017955425696,7,6|4,6|4
MESH_L3,2,free_surface,LEGACY_TRUNCATION_RADIUS,43.1063746972448,168,2.34077991858831,5.76780141121197,3.5342166317421,2.4188900476204,7,6|4,6|4
MESH_L3,2,bottom,MESH_TRANSITION_RADIUS,20,112,2.88986231422109,3.23049679221223,3.06017955388392,3.06017955425696,7,6|4,6|4
MESH_L3,2,bottom,LEGACY_TRUNCATION_RADIUS,43.1063746972448,168,1.8585582568248,5.76780141121197,3.21749308100481,1.96391787263876,7,6|4,6|4
MESH_L3,2,combined,V4_COMBINED_TRANSITION_DEFINITION,NaN,560,1.8585582568248,5.76780141121197,3.24958473537764,2.88986231598053,7,6|4,6|4
