stage,mesh_level,mesh_level_index,nested_mesh,eta_control,omega_rad_s,wavelength_m,body_division_count,fs_near_radial_count,fs_sponge_radial_count,bottom_near_radial_count,bottom_sponge_radial_count,configured_wall_vertical_count,configured_wall_theta_count,configured_fs_theta_count,configured_bottom_theta_count,actual_wall_vertical_layer_count,actual_wall_theta_count,actual_fs_theta_count,actual_bottom_theta_count,body_panel_count,free_surface_panel_count,bottom_panel_count,farfield_panel_count,total_panel_count,body_mean_sqrt_area_m,body_median_sqrt_area_m,fs_mean_sqrt_area_m,fs_median_sqrt_area_m,bottom_mean_sqrt_area_m,bottom_median_sqrt_area_m,wall_mean_sqrt_area_m,wall_median_sqrt_area_m,transition_mean_sqrt_area_m,transition_median_sqrt_area_m,transition_panel_count,global_equivalent_h_m,minimum_panel_area_m2,maximum_panel_area_m2,median_panel_area_m2,minimum_edge_length_m,maximum_aspect_ratio,maximum_skewness_deg,maximum_warp_deg,worst_poor_panel_fraction,unique_vertex_count,unique_edge_count,minimum_edge_multiplicity,maximum_edge_multiplicity,nonmanifold_edge_count,duplicate_panel_count,triangle_duplicate_vertex_count,unexpected_within_panel_duplicate_vertex_count,euler_characteristic,manifold_status,normal_orientation_status,waterline_continuity_status,maximum_interface_gap_m,self_intersection_audit,self_intersection_status,actual_top_outer_radius_m,actual_bottom_outer_radius_m,target_top_outer_radius_m,target_bottom_outer_radius_m,water_depth_m,body_geometry_hash,free_surface_geometry_hash,bottom_geometry_hash,farfield_geometry_hash,combined_geometry_hash,operator_hash,production_source_hash,physical_state_hash,mesh_control_hash,config_raw_sha256,body_bmf_raw_sha256,mesh_generation_command,generation_runtime_s,geometry_gate_status,topology_mode,requested_near_radial_step_m,realized_near_radial_step_m,requested_outer_radial_step_max_m,realized_outer_radial_step_m,configured_outer_radial_layer_count,requested_outer_radial_layer_count,realized_outer_radial_layer_count,base_theta_count,final_wall_theta_count,top_connector_minimum_angle_deg,top_connector_maximum_aspect_ratio,bottom_connector_minimum_angle_deg,bottom_connector_maximum_aspect_ratio,design_canonical_sha256,design_git_blob_id,design_v2_canonical_sha256,design_v2_git_blob_id,design_v3_canonical_sha256,design_v3_git_blob_id,requested_bottom_core_radial_layer_count,realized_bottom_core_radial_layer_count,bottom_core_structured_panel_count,bottom_single_center_fan,stale_result_reuse
phase3_2a_v5_mesh_family,MESH_L1,1,NO,0.0707009403590185,0.5,219.748602338939,4,4,2,4,2,3,64,64,64,10,64,64,64,192,1280,1088,640,3200,0.899901370359355,0.902189145691737,31.995283669977,35.9192806292049,23.5234293951175,30.8326625343517,31.9839217880114,32.0076141672923,23.1407563266006,22.5073621714976,376,30.6618513598673,0.195312500007431,1956.31295166354,1073.34214536434,0.44194173825,7.64297917957749,52.4770196823542,7.58291583832407,0,3106,6304,2,2,0,0,192,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,689.245807016818,524.434355262614,689.245807016818,524.434355262614,50,0d1f567d5c8a5291114a0a2213e3c092c5b46a890c922cfb12f013bccc215c2a,ca138c54054a85cc725f6f0d13767d1d881a84a222a1e304107b929fbc722072,5dd819d6ff78ac88a0ba79c0d65a3a975d43c7b4bfe13bbcce3564ea22196509,57063d2c5fb98015aeb6ce8787cac981a4f4300871b83d24fd187bc0e32d74ec,7c4fb682565df9221968a1295bd1f8cba94899d92e72063b53d4dbb0b5885b2a,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,b64305226bed2cc2395518117797b7c0feb366d299ab2489c25bc55001d09aa6,6b405f39647839cb4e3e5d258acf2711e969c7fdddb3a3bd997002db8f45ed63,11e2d8b44754fc5cf94f3a290ea9ab73b4f088c639f891096cfe6b40d797159e,15eebde53ddd04f934b2f0b2fc0f751f72bcfd8b8e6d22ad7cd4beff223b86fe,mode=QUALITY_CONTROLLED_V2;body=4;FS=4|2;bottom=4|2;wallNz=3;theta=64;outerFactor=1.5,0.6947002,PASS,QUALITY_CONTROLLED_V2,3.74999999994608,3.74999999994608,31.3654849166758,29.9657185007645,2,11,11,32,64,37.5229803176458,1.63984393688748,37.5229803176458,1.63984393688748,6f0650154b95df143764999551533fd1e3c78fe980f68db1eecc2cba1e9ab577,8afacc9a4c4cb228b9cb45c65aaa9f2a0b1c31dc,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,4,4,192,NO,NO_MESH_REGENERATED_IN_UNIQUE_DIRECTORY
phase3_2a_v5_mesh_family,MESH_L2,2,NO,0.0550177552570247,0.5,219.748602338939,5,5,3,5,3,4,80,80,80,14,80,80,80,300,2000,1820,1120,5240,0.720984429031345,0.720822984811636,25.6107701207066,28.7568902833932,17.9117571629611,25.1303898370204,24.1840326447538,24.2023126588883,18.3234018665208,17.8851363831663,480,23.9679916651267,0.105841953572747,1244.36146702743,631.536493360616,0.351789605565353,7.50215539383532,52.2435963328331,6.49915624280425,0,5122,10360,2,2,0,0,240,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,689.245807016818,524.434355262614,689.245807016818,524.434355262614,50,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,b1cae3500cef548db8ea49f27ded91976b0d7b887f02e764545910e895b6c7c3,aa31e6112a22019e9c246c0cd85a799e91de4c7383a3094e734367b98cb5464b,50e1da4dbafb4faecad11bd61730d680a83eb6acfdd9ed3537b4554f5dd20241,1a783d127d6f84c1b755e5edb293c9c51c65ba4d0060c82c6d067dfec38413e9,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,b64305226bed2cc2395518117797b7c0feb366d299ab2489c25bc55001d09aa6,1ce0e3abf2307ca71ecf0079055bca3d736ead0a89863af14f62367f22f4f3a8,bb97b67984b3b4de476c15b139ca1a94a2151e28cb8f167ac8ff61ddb5b9084e,86ba08c6868727b52c6010184836bb72c2e62486759f0a432118249710713370,mode=QUALITY_CONTROLLED_V2;body=5;FS=5|3;bottom=5|3;wallNz=4;theta=80;outerFactor=1.5,0.5950824,PASS,QUALITY_CONTROLLED_V2,3.00000000001295,3.00000000001295,25.1069106471923,23.5444931077435,3,14,14,40,80,37.7564036671669,1.63191216684896,37.7564036671669,1.63191216684896,6f0650154b95df143764999551533fd1e3c78fe980f68db1eecc2cba1e9ab577,8afacc9a4c4cb228b9cb45c65aaa9f2a0b1c31dc,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,7,7,380,NO,NO_MESH_REGENERATED_IN_UNIQUE_DIRECTORY
phase3_2a_v5_mesh_family,MESH_L3,3,NO,0.0412542094946932,0.5,219.748602338939,7,6,4,6,4,5,112,112,112,17,112,112,112,588,3696,3556,1904,9744,0.515651584165798,0.511276502549461,18.9301543857168,21.1418490626988,12.6320820774126,17.8387364283391,18.5526589885329,18.5669244814884,13.1123388916703,12.6733720911361,672,17.5807151192051,0.0415267181074218,662.266770592071,355.745421992863,0.204675907355603,7.73516831844286,51.9804388404248,5.01605271391314,0,9578,19320,2,2,0,0,336,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,689.245807016818,524.434355262614,689.245807016818,524.434355262614,50,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,41e8a8715b634634ac2f1f67ac3950bbad80f7740df38268cdbcf7da9e4cfd05,00115611a29beefcf4f7ae35c263bc30b6491da49a04a1d743165fb455d1c90c,4050d6955d073b9adef6a0d801373d82af802d80d0bb3173dd99686b3fd8d9af,ab870123c397381b2a81d173d557abd89a450a0b2cda9a77ee70dc0be4c94f9e,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,b64305226bed2cc2395518117797b7c0feb366d299ab2489c25bc55001d09aa6,4cc72f799998423b04718d4f7b973225411047e7387a5be474102a40790458c7,25be69ba80413c9a0fa35da2a17d774af67066239d18feb34978eeb584b85830,775840353c1a329ea1b9258219e3af16b3a96364761d5b04258ca6678002b36c,mode=QUALITY_CONTROLLED_V2;body=7;FS=6|4;bottom=6|4;wallNz=5;theta=112;outerFactor=1.5,1.0130851,PASS,QUALITY_CONTROLLED_V2,2.49999999998807,2.49999999998807,17.942543124655,17.3485738688636,4,19,19,56,112,38.0195611595752,1.62292121046737,38.0195611595752,1.62292121046737,6f0650154b95df143764999551533fd1e3c78fe980f68db1eecc2cba1e9ab577,8afacc9a4c4cb228b9cb45c65aaa9f2a0b1c31dc,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,12,12,868,NO,NO_MESH_REGENERATED_IN_UNIQUE_DIRECTORY
phase3_2a_v5_mesh_family,MESH_L1,1,NO,0.0707009403590185,0.6,163.908484447332,4,4,2,4,2,3,64,64,64,8,64,64,64,192,992,928,512,2624,0.899901370359355,0.902189145691737,27.0917442982032,30.861769727746,18.7864513879749,24.0129639668145,27.3387591209643,27.3578836725403,19.2001504782604,17.1152078912419,384,25.7205585199293,0.195312500007431,1501.89564760904,761.000910309582,0.44194173825,7.83863943114134,52.4770196823542,7.58291583832407,0,2530,5152,2,2,0,0,192,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,521.725453341996,398.794090006497,521.725453341996,398.794090006497,50,0d1f567d5c8a5291114a0a2213e3c092c5b46a890c922cfb12f013bccc215c2a,f46a0638c46c136d03335152a9243f9322454adcad95806b189a9fdddd163626,e83229f6b780ba43b435d2664fd6dda426c936edf39463dd0eade661863e485c,8b219b3ff50b88cea6d5f392b469ad19cae12123471f7b7ea9ccd465fe352c33,cda571b215c17a62fae509d7d45f5b83cebe1447ce5decc3841db9f22857c4a5,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,80ee2d862708bed403eee07b947bdd02a3eb68228dcb92473425bb82332e577b,5373cd33e0ae435a36038289b15d200ab36081c9f91aa64611522cfc3e3f610e,6a13552d5c77d6e23f90747d1a5b20ef13a2fb177af3461ece52bbd206c3284b,15eebde53ddd04f934b2f0b2fc0f751f72bcfd8b8e6d22ad7cd4beff223b86fe,mode=QUALITY_CONTROLLED_V2;body=4;FS=4|2;bottom=4|2;wallNz=3;theta=64;outerFactor=1.5,0.2973081,PASS,QUALITY_CONTROLLED_V2,3.74999999994608,3.74999999994608,31.3654849166758,30.7328408338747,2,8,8,32,64,37.5229803176458,1.63984393688748,37.5229803176458,1.63984393688748,6f0650154b95df143764999551533fd1e3c78fe980f68db1eecc2cba1e9ab577,8afacc9a4c4cb228b9cb45c65aaa9f2a0b1c31dc,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,4,4,192,NO,NO_MESH_REGENERATED_IN_UNIQUE_DIRECTORY
phase3_2a_v5_mesh_family,MESH_L2,2,NO,0.0550177552570247,0.6,163.908484447332,5,5,3,5,3,4,80,80,80,11,80,80,80,300,1520,1500,880,4200,0.720984429031345,0.720822984811636,21.8824046225282,25.346099578255,14.3293710977391,17.7010861374426,20.8584619142466,20.8738959225761,15.271826524206,13.6003421915318,480,20.3357586780778,0.105841953572747,975.26424920527,435.71953098654,0.351789605565353,7.83410529416432,52.243596332833,6.49915624280425,0,4082,8280,2,2,0,0,240,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,521.725453341996,398.794090006497,521.725453341996,398.794090006497,50,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,f30d58b5f34f0313d0ab3dbb27cedc4c43754d32f06d7fa9ba4a5ac085fe4579,b8770b22efb59937a1793bd1ed5c30d490e417e82297567b1b10a7fdb0f07cdc,e4990b7eee13de12352044c9205ef5c9af328bac6e47e1ae7e09e1ee1103d3cd,7bc3c27fabc15aa142b195a2b7dc758ba6f14db32c1d5a8bf3d97d654eea3e0e,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,80ee2d862708bed403eee07b947bdd02a3eb68228dcb92473425bb82332e577b,5857d376f69cb8d0c2547deb8870de5245cc7b008524f7419544a99348e81b04,c379de65b64286ce3d16e0920458315d11a0ee11029ab461eb279daccf8c0a57,86ba08c6868727b52c6010184836bb72c2e62486759f0a432118249710713370,mode=QUALITY_CONTROLLED_V2;body=5;FS=5|3;bottom=5|3;wallNz=4;theta=80;outerFactor=1.5,0.509411,PASS,QUALITY_CONTROLLED_V2,3.00000000001295,3.00000000001295,25.1069106471923,24.5862726670998,3,10,10,40,80,37.756403667167,1.63191216684896,37.756403667167,1.63191216684896,6f0650154b95df143764999551533fd1e3c78fe980f68db1eecc2cba1e9ab577,8afacc9a4c4cb228b9cb45c65aaa9f2a0b1c31dc,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,7,7,380,NO,NO_MESH_REGENERATED_IN_UNIQUE_DIRECTORY
phase3_2a_v5_mesh_family,MESH_L3,3,NO,0.0412542094946932,0.6,163.908484447332,7,6,4,6,4,5,112,112,112,13,112,112,112,588,2856,2940,1456,7840,0.515651584165798,0.511276502549461,16.1007324989972,18.2438849544226,10.0513619708977,11.2095111954576,16.2195904675602,16.2316206403419,10.8707255611531,9.63717544375502,664,14.8879131202471,0.0415267181074218,505.494502624078,263.621390471065,0.204675907355603,7.83016018824596,51.9804388404248,5.01605271391314,0,7674,15512,2,2,0,0,336,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,521.725453341996,398.794090006497,521.725453341996,398.794090006497,50,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,4bb90b0e3bb1f02f33c3ac4c4f65da6aa72335eb07a25269c175bbc72da8cf5b,a07d6bd726e697439941192958b10c9e59052b91227e577d63d30bab075065e4,e8741654a0c48851880f53ddcc3b199c68c448ce4f7e4f9abd8b3042eca464a6,161dc4d15628028087eecb2f9bfc931264d317f45107be7721057f8992cda41f,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,80ee2d862708bed403eee07b947bdd02a3eb68228dcb92473425bb82332e577b,e91ae7a99077cc06f5ca9824b663bb3262fa9a870aaf271ac8a5eb03fdd3133b,87ce6f4e9849f3c6d7d098c06e8b00a9db1df37b21304a8b430e8d2dc3b0c053,775840353c1a329ea1b9258219e3af16b3a96364761d5b04258ca6678002b36c,mode=QUALITY_CONTROLLED_V2;body=7;FS=6|4;bottom=6|4;wallNz=5;theta=112;outerFactor=1.5,0.7512699,PASS,QUALITY_CONTROLLED_V2,2.49999999998807,2.49999999998807,17.942543124655,17.5616233336427,4,14,14,56,112,38.0195611595752,1.62292121046737,38.0195611595752,1.62292121046737,6f0650154b95df143764999551533fd1e3c78fe980f68db1eecc2cba1e9ab577,8afacc9a4c4cb228b9cb45c65aaa9f2a0b1c31dc,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,12,12,868,NO,NO_MESH_REGENERATED_IN_UNIQUE_DIRECTORY
phase3_2a_v5_mesh_family,MESH_L1,1,NO,0.0707009403590185,1,61.6124091872216,4,4,2,4,2,3,64,64,64,4,64,64,64,192,576,640,256,1664,0.899901370359355,0.902189145691737,13.9888524695735,17.4616519064761,8.61284460142639,5.43925372898138,17.880624065148,17.8887658975397,11.1671230125805,8.69541233749188,384,13.7800108034412,0.195312500007431,583.062484410637,157.935524535532,0.44194173825,7.85735140322983,52.4770196823542,7.58291583832407,0,1570,3232,2,2,0,0,192,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,214.837227561665,168.627920671248,214.837227561665,168.627920671248,50,0d1f567d5c8a5291114a0a2213e3c092c5b46a890c922cfb12f013bccc215c2a,6bb59c1085324cc0b923b9a575d69015abc1c8c1c83088424c39be5e80653641,171eef792bb1e6ab235c4aa2d242aaa1e9cb49b3da6a1d19ab34ad690ff63cdd,f0f968332013871d8e8f9dbc09cc9656d90b98fdb5e1fcdaf3bf8e32937897f1,b26a9bfa08390cbb946f59aa00f6de53851377ead3f9fcc336009efcaefe9666,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,88796be6a94f0e346c438632c9854c0b8dd26f4f3be4764b7c523f28f5ca9c78,483a9ac9db86547c10eabdc7cf9a3c462576613f0540d5947e3daf2b7108c1fb,b3b2ccdd9f134550b46506e8f56e2932597aca36b09efa94ce5a8613e9a43040,15eebde53ddd04f934b2f0b2fc0f751f72bcfd8b8e6d22ad7cd4beff223b86fe,mode=QUALITY_CONTROLLED_V2;body=4;FS=4|2;bottom=4|2;wallNz=3;theta=64;outerFactor=1.5,0.1492,PASS,QUALITY_CONTROLLED_V2,3.74999999994608,3.74999999994608,31.3654849166758,30.8062045936108,2,3,3,32,64,37.5229803176458,1.63984393688748,37.5229803176458,1.63984393688748,6f0650154b95df143764999551533fd1e3c78fe980f68db1eecc2cba1e9ab577,8afacc9a4c4cb228b9cb45c65aaa9f2a0b1c31dc,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,4,4,192,NO,NO_MESH_REGENERATED_IN_UNIQUE_DIRECTORY
phase3_2a_v5_mesh_family,MESH_L2,2,NO,0.0550177552570247,1,61.6124091872216,5,5,3,5,3,4,80,80,80,6,80,80,80,300,880,1100,480,2760,0.720984429031345,0.720822984811636,11.3514886491573,13.9748108727543,6.46769888612673,2.94654251785249,13.0601328529055,13.067180689035,8.87300341701437,8.08048774719836,456,10.7024768476033,0.105841953572747,364.567487215179,114.041597068469,0.351789605565353,7.36200603994554,52.243596332833,6.49915624280425,0,2642,5400,2,2,0,0,240,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,214.837227561665,168.627920671248,214.837227561665,168.627920671248,50,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,923eb389f9f5503a09a9d92f33aec16ee172e5b3ab89190aeff83ca3af016056,a2d5d00204f846513062313321153f407fa6b464bb52c0294563bbadef98ca60,e2d7f223046edd8ab7d1f67838bc46867515ad505f7e7ed2004d5f5942dc34c3,7101f573a02cc54cb3b5150947f7f2245738c6b76de84929b3d636cb5f6589f1,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,88796be6a94f0e346c438632c9854c0b8dd26f4f3be4764b7c523f28f5ca9c78,0b994a3feb30a77b49299bb69c526c7d9254f05d8bb1351c51fcf9d7a3335d1b,2235a44065fe923f2e0d9e5d4c93c64f4168205460b0d9987d7e7cb2845126f6,86ba08c6868727b52c6010184836bb72c2e62486759f0a432118249710713370,mode=QUALITY_CONTROLLED_V2;body=5;FS=5|3;bottom=5|3;wallNz=4;theta=80;outerFactor=1.5,0.2764555,PASS,QUALITY_CONTROLLED_V2,3.00000000001295,3.00000000001295,25.1069106471923,23.1046534452081,3,4,4,40,80,37.756403667167,1.63191216684896,37.756403667167,1.63191216684896,6f0650154b95df143764999551533fd1e3c78fe980f68db1eecc2cba1e9ab577,8afacc9a4c4cb228b9cb45c65aaa9f2a0b1c31dc,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,7,7,380,NO,NO_MESH_REGENERATED_IN_UNIQUE_DIRECTORY
phase3_2a_v5_mesh_family,MESH_L3,3,NO,0.0412542094946932,1,61.6124091872216,7,6,4,6,4,5,112,112,112,7,112,112,112,588,1624,2156,784,5152,0.515651584165798,0.511276502549461,8.49862098248273,10.387192129449,4.4971096056791,1.96183048888367,10.2205280536922,10.2266052453242,6.13698399964458,5.73591146387698,656,7.83517967631418,0.0415267181074218,180.595075522654,61.0562000813572,0.204675907355603,6.86774542925515,51.9804388404248,5.01605271391314,0,4986,10136,2,2,0,0,336,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,214.837227561665,168.627920671248,214.837227561665,168.627920671248,50,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,aeb1f2e772fd7bd41374a2eafd47a6a7ce62f1e0543df3f0eaed7509798b1dcf,ea1c008772ed7e4c4b2722064231765721ec983e4c0616013eec9eb34670b22d,b306b2bfa7f77eda71074be4efa4f8c369b7c27b059f0b3e5d3720bfbf3e500b,eea392114ffff6ecdee519a2c5a42b9c4c6fbc8fb4d8a886af8083ad025470d1,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,88796be6a94f0e346c438632c9854c0b8dd26f4f3be4764b7c523f28f5ca9c78,65221432c248f9d369f478673dfdf79776f9b2355451237fda3f289e2493934a,076ee80c4f0a504bfc49db347323cf89be6abd0756e70b0973cbadb26683137c,775840353c1a329ea1b9258219e3af16b3a96364761d5b04258ca6678002b36c,mode=QUALITY_CONTROLLED_V2;body=7;FS=6|4;bottom=6|4;wallNz=5;theta=112;outerFactor=1.5,0.4833623,PASS,QUALITY_CONTROLLED_V2,2.49999999998807,2.49999999998807,17.942543124655,15.4031022968054,4,6,6,56,112,38.0195611595752,1.62292121046737,38.0195611595752,1.62292121046737,6f0650154b95df143764999551533fd1e3c78fe980f68db1eecc2cba1e9ab577,8afacc9a4c4cb228b9cb45c65aaa9f2a0b1c31dc,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,12,12,868,NO,NO_MESH_REGENERATED_IN_UNIQUE_DIRECTORY
phase3_2a_v5_mesh_family,MESH_L1,1,NO,0.0707009403590185,1.4,31.4372443546838,4,4,2,4,2,3,64,64,64,4,64,64,64,192,480,608,256,1536,0.899901370359355,0.902189145691737,8.79730926943058,11.7236364146497,5.37823864154742,3.64143451462555,12.3467953389107,12.3510414823987,7.88236713792443,6.06557911699734,368,8.8179882741817,0.195312500007431,254.678138636561,27.7407984802313,0.44194173825,6.01372708767208,52.4770196823542,7.58291583832407,0,1442,2976,2,2,0,0,192,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,124.311733064051,100.733799798038,124.311733064051,100.733799798038,50,0d1f567d5c8a5291114a0a2213e3c092c5b46a890c922cfb12f013bccc215c2a,24337fa937fb22b93993b67aea899ee471e08eb791f8968091d2450b80b0644c,43fa8d390b6c30c31177060951ce8cb5a56f6b2215d96584857c71ab80f49e0e,4b9fa1a4fa8ec1a60fb24a2fc94d56a75dc37196eb33ecb137f446ac3947f287,9edb1b074db1e4a0c16e45221f3428dfeb49d225a518af295787d9923323a5da,NOT_ASSEMBLED_MESH_AUDIT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,4bdf3737ef6f681b11f9603bb1fa0a629a8b0870f2d56b331370c7807cc5aea9,a56379d229e0a8dd8d9dc6a22969a8d7b8ac242c7f1ef6257db5a4f428993b51,01dc510b36cd713c761e7d4bf1181284163d49fafe6ed9ae7619e842b08d91d5,15eebde53ddd04f934b2f0b2fc0f751f72bcfd8b8e6d22ad7cd4beff223b86fe,mode=QUALITY_CONTROLLED_V2;body=4;FS=4|2;bottom=4|2;wallNz=3;theta=64;outerFactor=1.5,0.1704633,PASS,QUALITY_CONTROLLED_V2,3.74999999994608,3.74999999994608,31.3654849166758,23.5779332660128,2,2,2,32,64,37.5229803176458,1.63984393688748,37.5229803176458,1.63984393688748,6f0650154b95df143764999551533fd1e3c78fe980f68db1eecc2cba1e9ab577,8afacc9a4c4cb228b9cb45c65aaa9f2a0b1c31dc,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,2faa3379d45060e9a606c0b5427af4c696b65d38,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,f5c54db6952f488830aacda26e9c2b92486f29bd,4,4,192,NO,NO_MESH_REGENERATED_IN_UNIQUE_DIRECTORY
