item,value,path,sha256,status,notes
BASELINE_TAG,phase3-2a-v5-ready-for-sentinel,,,PASS,annotated tag
BASELINE_TAG_OBJECT_SHA,e761035e156e54814b751b6b80f40e25803c6667,,,PASS,local tag object
BASELINE_PEELED_COMMIT_SHA,4a1bb81f6db6e577a1b45263d9e224a9260a5153,,,PASS,must equal accepted HEAD
V5_MESH_MANIFEST,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_V5_Mesh_Manifest.csv,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_V5_Mesh_Manifest.csv,15e2c68e00a78658ac497a66b73f1a0192996776cd7b5c564b0993107fd66ba2,PASS,read-only frozen input
V5_MESH_QUALITY,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_V5_Mesh_Quality.csv,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_V5_Mesh_Quality.csv,ff7e8b2538ca1d12e6e50c303632ce166555d1a6455b980661394525df0e6618,PASS,read-only frozen input
V5_CONTROL_ISOLATION,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_V5_Control_Isolation.csv,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_V5_Control_Isolation.csv,05a3ee2afec79cad8659712eeb9d041a8edeedf9ccd91d6ca8fb39b060b3873a,PASS,read-only frozen input
V5_MESH_STATUS,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_V5_Mesh_Status.csv,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_V5_Mesh_Status.csv,cfc9579e2501ea1533c597c14f91cb1cc844dd2faec14e64f9789778b5610fa1,PASS,read-only frozen input
TOPOLOGY_DESIGN_V1,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_Topology_Design_Decision.md,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_Topology_Design_Decision.md,6f0650154b95df143764999551533fd1e3c78fe980f68db1eecc2cba1e9ab577,PASS,read-only frozen input
TOPOLOGY_DESIGN_V2,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_Topology_Design_Decision_v2.md,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_Topology_Design_Decision_v2.md,b890e7dbb53e44a0f9fb64dd7ab531ef0e4d2726115a6f5b6525a129eb6a4155,PASS,read-only frozen input
TOPOLOGY_DESIGN_V3,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_Topology_Design_Decision_v3.md,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2A_Artifacts\Phase3_2A_Topology_Design_Decision_v3.md,09ed058bfef27cf9cf86ecb700208462199c59df531ae7ee77521439a8b353c5,PASS,read-only frozen input
BASELINE_CONFIG,Case_Wave\Case1_SingleSphere_Convergence\Phase2_2_Artifacts\Tests\Frustum_Instrumentation\Cases\Frustum_Top_Only.cfg,Case_Wave\Case1_SingleSphere_Convergence\Phase2_2_Artifacts\Tests\Frustum_Instrumentation\Cases\Frustum_Top_Only.cfg,d26fab6126dc6b370a3f2c51c233de5bc2daec49263dceab6bb9c9aa67948cb6,PASS,read-only frozen input
FORMAL_REFERENCE_CONFIG,Case_Wave\Case1_SingleSphere_Convergence\Mesh_Fine\Case1_Fine.cfg,Case_Wave\Case1_SingleSphere_Convergence\Mesh_Fine\Case1_Fine.cfg,0d82189b9f87d59ebed5dc022d73e139d05357e75de7807c298e144d10f4d27b,PASS,read-only frozen input
PREDECLARED_RESPONSE_GATES,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2B_Artifacts\Phase3_2B_Predeclared_Response_Gates.md,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2B_Artifacts\Phase3_2B_Predeclared_Response_Gates.md,b57af24aca5208e10d6c7dac05ed9783fd4fd92d1bdb28d7cf2d38fcb5475d2c,PASS,read-only frozen input
WAMIT_DERIVED_PROVENANCE_ONLY,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2_Artifacts\Phase3_2_WAMIT_Reference_Provenance.csv,Case_Wave\Case1_SingleSphere_Convergence\Phase3_2_Artifacts\Phase3_2_WAMIT_Reference_Provenance.csv,d5899a614c636b4e801c46ecca1d46c2d892197c5bf87be075b38ab67bcb2611,PASS,read-only frozen input
PRODUCTION_SOURCE_FINGERPRINT,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,,7dee2e9eed9c3b80755559f913b90a93e3ba59eca9bafb621c86fe58c82f3783,PASS,get_rankine_code_version; fixed across 18 frozen rows
DEFAULT_TOPOLOGY_MODE,LEGACY,,,PASS,negative control via get_polar_topology_mode
PHASE3_2B_TOPOLOGY_MODE,QUALITY_CONTROLLED_V2,,,PASS,must be explicit in every case
STARTUP_WORKTREE_STATUS,CLEAN,,,PASS,verified before tag creation and Phase 3.2B directory creation
