case_id,mesh_level,mesh_level_index,omega_rad_s,bem_unknown_count,matrix_rows,matrix_columns,raw_rcond,scaled_rcond,radiation_linear_relative_residual,diffraction_linear_relative_residual,radiation_algebraic_relative_residual,diffraction_algebraic_relative_residual,maximum_abs_outer_ntheta,maximum_outer_column_residual,all_finite,solver_warning_count,cache_status,algebraic_gate_status,maximum_relative_residual
SENTINEL_MESH_L1_w0500,MESH_L1,1,0.5,3200,3200,3200,0.000141154685379884,0.000214427351457194,2.324826680331e-15,1.94366587547454e-14,2.324826680331e-15,1.94366587547454e-14,5.22913635170586e-16,0,1,0,miss,PASS,1.94366587547454e-14
SENTINEL_MESH_L1_w0600,MESH_L1,1,0.6,2624,2624,2624,0.000111026010543746,0.00020002883973291,1.59843394195142e-15,3.37960637203083e-15,1.59843394195142e-15,3.37960637203083e-15,8.76930955135327e-16,0,1,0,miss,PASS,3.37960637203083e-15
SENTINEL_MESH_L1_w1000,MESH_L1,1,1,1664,1664,1664,1.2642195966496e-05,3.52050621117507e-05,8.62769243998081e-15,2.71061611480407e-14,8.62769243998081e-15,2.71061611480407e-14,1.30071278138176e-15,0,1,0,miss,PASS,2.71061611480407e-14
SENTINEL_MESH_L1_w1400,MESH_L1,1,1.4,1536,1536,1536,5.76196872432432e-05,0.000105956682502639,2.57512836741296e-15,2.62517761988723e-14,2.57512836741296e-15,2.62517761988723e-14,1.64674190258724e-15,0,1,0,miss,PASS,2.62517761988723e-14
SENTINEL_MESH_L1_w1500,MESH_L1,1,1.5,1536,1536,1536,5.24490784131909e-05,9.29244006565301e-05,3.83253863681942e-15,5.36044711886882e-15,3.83253863681942e-15,5.36044711886882e-15,1.51065323573885e-15,0,1,0,miss,PASS,5.36044711886882e-15
SENTINEL_MESH_L1_w2000,MESH_L1,1,2,1472,1472,1472,1.02181559202695e-05,2.47473175926248e-05,8.70765136924375e-16,2.56843899184239e-15,8.70765136924375e-16,2.56843899184239e-15,1.81629151787768e-15,0,1,0,miss,PASS,2.56843899184239e-15
SENTINEL_MESH_L2_w0500,MESH_L2,2,0.5,5240,5240,5240,0.000129302820839262,0.000175574636359804,6.62621298629159e-15,1.41510575737852e-14,6.62621298629159e-15,1.41510575737852e-14,6.61193366115875e-16,0,1,0,miss,PASS,1.41510575737852e-14
SENTINEL_MESH_L2_w0600,MESH_L2,2,0.6,4200,4200,4200,9.87461518708544e-05,0.000152716124915344,3.09289275505844e-15,4.5564074318234e-15,3.09289275505844e-15,4.5564074318234e-15,7.73724142818041e-16,0,1,0,miss,PASS,4.5564074318234e-15
SENTINEL_MESH_L2_w1000,MESH_L2,2,1,2760,2760,2760,3.57536121587646e-05,7.16553151117182e-05,1.56790602324783e-14,4.36250223937009e-14,1.56790602324783e-14,4.36250223937009e-14,1.55661082742795e-15,0,1,0,miss,PASS,4.36250223937009e-14
SENTINEL_MESH_L2_w1400,MESH_L2,2,1.4,2440,2440,2440,4.07270618140677e-05,0.000104050687985723,2.42538640896983e-15,2.87145995561523e-14,2.42538640896983e-15,2.87145995561523e-14,1.51668712103292e-15,0,1,0,miss,PASS,2.87145995561523e-14
SENTINEL_MESH_L2_w1500,MESH_L2,2,1.5,2440,2440,2440,1.16094682149301e-05,2.86020386386456e-05,5.12415187725738e-15,4.41436872683218e-14,5.12415187725738e-15,4.41436872683218e-14,1.81136685025611e-15,0,1,0,miss,PASS,4.41436872683218e-14
SENTINEL_MESH_L2_w2000,MESH_L2,2,2,2440,2440,2440,2.02228089497667e-05,0.000273605421647425,9.34582861203487e-16,4.69489728291432e-15,9.34582861203487e-16,4.69489728291432e-15,1.93629634558209e-15,0,1,0,miss,PASS,4.69489728291432e-15
SENTINEL_MESH_L3_w0500,MESH_L3,3,0.5,9744,9744,9744,0.000124577361660389,0.000152117706533654,1.47067322495811e-14,9.36586208191156e-14,1.47067322495811e-14,9.36586208191156e-14,1.11805629753654e-15,0,1,0,miss,PASS,9.36586208191156e-14
SENTINEL_MESH_L3_w0600,MESH_L3,3,0.6,7840,7840,7840,9.80160854636328e-05,0.000128639885599059,1.04564673206566e-14,5.56121962730082e-14,1.04564673206566e-14,5.56121962730082e-14,1.22197276530566e-15,0,1,0,miss,PASS,5.56121962730082e-14
SENTINEL_MESH_L3_w1000,MESH_L3,3,1,5152,5152,5152,4.30640035817126e-05,7.38277376616982e-05,7.71150708565536e-15,3.12521448878382e-14,7.71150708565536e-15,3.12521448878382e-14,2.39795473536296e-15,0,1,0,miss,PASS,3.12521448878382e-14
SENTINEL_MESH_L3_w1400,MESH_L3,3,1.4,4480,4480,4480,1.81767913341188e-05,4.01254383981215e-05,1.25613615211971e-14,1.95403746950706e-14,1.25613615211971e-14,1.95403746950706e-14,2.76857586644876e-15,0,1,0,miss,PASS,1.95403746950706e-14
SENTINEL_MESH_L3_w1500,MESH_L3,3,1.5,4480,4480,4480,2.39538460509986e-05,5.8729944509506e-05,7.21032883040198e-15,3.05751145005674e-14,7.21032883040198e-15,3.05751145005674e-14,3.78587192693751e-15,0,1,0,miss,PASS,3.05751145005674e-14
SENTINEL_MESH_L3_w2000,MESH_L3,3,2,4592,4592,4592,1.16698007438034e-05,3.52646231245264e-05,2.50073977185225e-15,7.47086981293545e-15,2.50073977185225e-15,7.47086981293545e-15,3.73393846503346e-15,0,1,0,miss,PASS,7.47086981293545e-15
