suite_position,test_id,omega_rad_s,topology_request,observed_topology_mode,expected_combined_hash,actual_combined_hash,exact_hash_match,maximum_response_relative_difference,raw_rcond,scaled_rcond,maximum_relative_residual,cache_status,bem_unknown_count,total_runtime_s,status,notes
START,LEGACY_Q_ONLY_GEOMETRY,0.5,OMITTED,LEGACY,6b3e3c519a8749b76f552177d8f08e0f719623fe665bfa5a3957cd47c8a61f31,6b3e3c519a8749b76f552177d8f08e0f719623fe665bfa5a3957cd47c8a61f31,1,NaN,NaN,NaN,NaN,NOT_RUN,0,NaN,PASS,fresh q-only mesh; no explicit topology mode
START,LEGACY_Q_ONLY_GEOMETRY,0.6,OMITTED,LEGACY,f251c77e23ca76e2e05c4fe9613f9dafbc6161c22a283e82d224b06b21cd57e2,f251c77e23ca76e2e05c4fe9613f9dafbc6161c22a283e82d224b06b21cd57e2,1,NaN,NaN,NaN,NaN,NOT_RUN,0,NaN,PASS,fresh q-only mesh; no explicit topology mode
START,LEGACY_Q_ONLY_GEOMETRY,1.2,OMITTED,LEGACY,c9aabde430a02f4ecbe0db5bff9b919e18f77ba952ebaca7b6837b5f590ef977,c9aabde430a02f4ecbe0db5bff9b919e18f77ba952ebaca7b6837b5f590ef977,1,NaN,NaN,NaN,NaN,NOT_RUN,0,NaN,PASS,fresh q-only mesh; no explicit topology mode
START,LEGACY_Q_ONLY_GEOMETRY,1.4,OMITTED,LEGACY,8a0925261c7ba86ec05de18111595be2dd289e6a3f023c59fb59d2a0439ff44a,8a0925261c7ba86ec05de18111595be2dd289e6a3f023c59fb59d2a0439ff44a,1,NaN,NaN,NaN,NaN,NOT_RUN,0,NaN,PASS,fresh q-only mesh; no explicit topology mode
START,LEGACY_Q_ONLY_GEOMETRY,2,OMITTED,LEGACY,f0f1643acd0c78d82c4f770ecfaca948542f9244dc630ebf703f85fc5961060e,f0f1643acd0c78d82c4f770ecfaca948542f9244dc630ebf703f85fc5961060e,1,NaN,NaN,NaN,NaN,NOT_RUN,0,NaN,PASS,fresh q-only mesh; no explicit topology mode
START,TOPOLOGY_DEFAULT_NEGATIVE_CONTROL,NaN,OMITTED,LEGACY,,,0,NaN,NaN,NaN,NaN,NOT_RUN,0,NaN,PASS,missing mode must never select V2
START,QUALITY_CONTROLLED_V2_POSITIVE_CONTROL,1.5,EXPLICIT_QUALITY_CONTROLLED_V2,QUALITY_CONTROLLED_V2,e98ec5f118c553d564eea77f3c57430487b708a2b948741a09d728ca6f418478,e98ec5f118c553d564eea77f3c57430487b708a2b948741a09d728ca6f418478,1,NaN,NaN,NaN,NaN,NOT_RUN,4480,NaN,PASS,fresh L3 v5 mesh/operator preview; no matrix assembly
START,LEGACY_1P5_RESPONSE_REGRESSION,1.5,OMITTED,LEGACY,ec245467a1fdbf173d253e7fbdac503bc9745722c73531074cf31736c2ecafc5,ec245467a1fdbf173d253e7fbdac503bc9745722c73531074cf31736c2ecafc5,1,4.27694142510556e-13,2.31950141753968e-05,6.18624988260384e-05,8.00262089350084e-14,miss,2752,34.7631341,PASS,fresh production solve compared with frozen Phase 3.1 row
END,LEGACY_Q_ONLY_GEOMETRY,0.5,OMITTED,LEGACY,6b3e3c519a8749b76f552177d8f08e0f719623fe665bfa5a3957cd47c8a61f31,6b3e3c519a8749b76f552177d8f08e0f719623fe665bfa5a3957cd47c8a61f31,1,NaN,NaN,NaN,NaN,NOT_RUN,0,NaN,PASS,fresh q-only mesh; no explicit topology mode
END,LEGACY_Q_ONLY_GEOMETRY,0.6,OMITTED,LEGACY,f251c77e23ca76e2e05c4fe9613f9dafbc6161c22a283e82d224b06b21cd57e2,f251c77e23ca76e2e05c4fe9613f9dafbc6161c22a283e82d224b06b21cd57e2,1,NaN,NaN,NaN,NaN,NOT_RUN,0,NaN,PASS,fresh q-only mesh; no explicit topology mode
