case_id,mesh_level,mesh_level_index,omega_rad_s,bem_unknown_count,assembly_runtime_s,total_runtime_s,one_dense_matrix_bytes,A_L_U_lower_bound_bytes,peak_memory_estimated_from_pilot_bytes,peak_memory_basis,resource_pilot_peak_working_set_bytes,maximum_concurrent_L3_BEM_solves
SENTINEL_MESH_L1_w0500,MESH_L1,1,0.5,3200,41.1996202,44.3316368,163840000,491520000,842023034.234701,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L1_w0600,MESH_L1,1,0.6,2624,28.0929894,29.5784252,110166016,330498048,566176288.219413,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L1_w1000,MESH_L1,1,1,1664,11.4048276,12.1966477,44302336,132907008,227683028.457063,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L1_w1400,MESH_L1,1,1.4,1536,9.8206776,10.5466118,37748736,113246208,194002107.087675,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L1_w1500,MESH_L1,1,1.5,1536,9.7566719,10.509477,37748736,113246208,194002107.087675,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L1_w2000,MESH_L1,1,2,1472,8.7703872,10.0082746,34668544,104005632,178172074.044063,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L2_w0500,MESH_L2,2,0.5,5240,111.4813726,117.5118109,439321600,1317964800,2257805826.64089,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L2_w0600,MESH_L2,2,0.6,4200,72.2786048,75.7749096,282240000,846720000,1450516242.56837,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L2_w1000,MESH_L2,2,1,2760,31.5133332,33.1783185,121881600,365644800,626386197.811158,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L2_w1400,MESH_L2,2,1.4,2440,24.55066,25.9327358,95257600,285772800,489557454.748019,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L2_w1500,MESH_L2,2,1.5,2440,24.5754525,25.9279291,95257600,285772800,489557454.748019,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L2_w2000,MESH_L2,2,2,2440,24.4842479,25.9568443,95257600,285772800,489557454.748019,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L3_w0500,MESH_L3,3,0.5,9744,393.3851687,420.5622281,1519128576,4557385728,7807258624,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L3_w0600,MESH_L3,3,0.6,7840,255.9273073,271.5364166,983449600,2950348800,5054243262.99379,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L3_w1000,MESH_L3,3,1,5152,112.1250729,117.7497265,424689664,1274068992,2182607907.03977,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L3_w1400,MESH_L3,3,1.4,4480,84.5029068,88.6517034,321126400,963379200,1650365147.10001,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L3_w1500,MESH_L3,3,1.5,4480,84.4721279,88.5400775,321126400,963379200,1650365147.10001,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
SENTINEL_MESH_L3_w2000,MESH_L3,3,2,4592,88.1902623,92.4951666,337383424,1012150272,1733914882.67195,N2_CALIBRATED_FROM_MAXIMUM_N_PROCESS_PEAK,7807258624,1
