omega_rad_s,quantity,value_kind,gate_role,Q_floor,relative_gate,L1_real,L1_imag,L1_magnitude,L1_phase_unwrapped_deg,L2_real,L2_imag,L2_magnitude,L2_phase_unwrapped_deg,L3_real,L3_imag,L3_magnitude,L3_phase_unwrapped_deg,L1_L2_absolute_difference,L1_L2_relative_difference,L2_L3_absolute_difference,L2_L3_relative_difference,L2_L3_relative_difference_floor_x0p1,L2_L3_relative_difference_floor_x10,floor_sensitivity_status,convergence_ratio,monotonicity,complex_trajectory,complex_turn_angle_deg,observed_order,richardson_extrapolated,fine_grid_GCI,asymptotic_range,classification,gate_status
0.5,A33,REAL_SCALAR,MANDATORY,1,0.05,212569.992497335,0,212569.992497335,NaN,214619.375466198,0,214619.375466198,NaN,216292.419690909,0,216292.419690909,NaN,2049.38296886298,0.00954891870508565,1673.04422471102,0.00773510337117625,0.00773510337117625,0.00773510337117625,STABLE_X0P1_TO_X10,0.816364852314179,MONOTONIC,NOT_APPLICABLE_REAL,NaN,1.2704182096489,220080.974758432,0.0218948673336388,DEMONSTRATED_FOR_REAL_SCALAR,CONVERGED,PASS
0.5,B33,REAL_SCALAR,MANDATORY,1,0.05,24817.9856383258,0,24817.9856383258,NaN,25808.9919359557,0,25808.9919359557,NaN,26602.9166041178,0,26602.9166041178,NaN,991.006297629898,0.0383977142574593,793.924668162101,0.0298435197905786,0.0298435197905786,0.0298435197905786,STABLE_X0P1_TO_X10,0.801129791062741,MONOTONIC,NOT_APPLICABLE_REAL,NaN,1.34092459801246,28287.9342521656,0.079174478926633,DEMONSTRATED_FOR_REAL_SCALAR,CONVERGED_WITHOUT_ASYMPTOTIC_PROOF,PASS
0.5,F3,COMPLEX,MANDATORY,1,0.05,668592.630035258,12445.0280141205,668708.444435791,1.06636719549829,669507.635004717,12944.8560062604,669632.766989962,1.1076695381895,670336.30302512,13345.3497959496,670469.132409958,1.14051890128547,1042.62271021752,0.00155700670817554,920.372730809787,0.00137272946108879,0.00137272946108879,0.00137272946108879,STABLE_X0P1_TO_X10,0.882747634201998,NOT_APPLICABLE_COMPLEX,DIRECT,2.8514921250728,NaN,NaN,NaN,NOT_DEMONSTRATED,CONVERGED_WITHOUT_ASYMPTOTIC_PROOF,PASS
0.5,F3_REAL,REAL_SCALAR,DIAGNOSTIC_GCI_ONLY,1,NaN,668592.630035258,0,668592.630035258,NaN,669507.635004717,0,669507.635004717,NaN,670336.30302512,0,670336.30302512,NaN,915.004969459027,0.00136668339779662,828.668020403013,0.00123619743800741,0.00123619743800741,0.00123619743800741,DIAGNOSTIC_NO_GATE,0.905643191088832,MONOTONIC,NOT_APPLICABLE_REAL,NaN,0.882535084946604,673200.885942962,0.00534168988184475,DEMONSTRATED_FOR_REAL_SCALAR,DIAGNOSTIC_ONLY,NOT_APPLICABLE
0.5,F3_IMAG,REAL_SCALAR,DIAGNOSTIC_GCI_ONLY,1,NaN,12445.0280141205,0,12445.0280141205,NaN,12944.8560062604,0,12944.8560062604,NaN,13345.3497959496,0,13345.3497959496,NaN,499.827992139899,0.0386120936299463,400.493789689201,0.0300099881841054,0.0300099881841054,0.0300099881841054,DIAGNOSTIC_NO_GATE,0.801263226524346,MONOTONIC,NOT_APPLICABLE_REAL,NaN,1.34030113613149,14195.8303611618,0.0796607599478514,DEMONSTRATED_FOR_REAL_SCALAR,DIAGNOSTIC_ONLY,NOT_APPLICABLE
0.5,RAO3,COMPLEX,MANDATORY,1e-06,0.1,1.0066479822517,-6.99506546641579e-05,1.00664798468209,-0.00398140894398606,1.00604446939428,-5.65614946980523e-05,1.00604447098427,-0.00322126409351134,1.00552367968657,-4.43731391647578e-05,1.00552368066565,-0.00252842737331598,0.000603661360926676,0.0006000344699833,0.00052093231390195,0.000518070657030271,0.000518070657030271,0.000518070657030271,STABLE_X0P1_TO_X10,0.862954543093946,NOT_APPLICABLE_COMPLEX,DIRECT,0.0697629765472077,NaN,NaN,NaN,NOT_DEMONSTRATED,CONVERGED_WITHOUT_ASYMPTOTIC_PROOF,PASS
0.5,RAO3_REAL,REAL_SCALAR,DIAGNOSTIC_GCI_ONLY,1e-06,NaN,1.0066479822517,0,1.0066479822517,NaN,1.00604446939428,0,1.00604446939428,NaN,1.00552367968657,0,1.00552367968657,NaN,0.000603512857419997,0.00059988685965677,0.000520789707709968,0.0005179288347265,0.0005179288347265,0.0005179288347265,DIAGNOSTIC_NO_GATE,0.862930592624541,MONOTONIC,NOT_APPLICABLE_REAL,NaN,1.06297794515665,1.00406907734887,0.00180826464742108,DEMONSTRATED_FOR_REAL_SCALAR,DIAGNOSTIC_ONLY,NOT_APPLICABLE
0.5,RAO3_IMAG,REAL_SCALAR,DIAGNOSTIC_GCI_ONLY,1e-06,NaN,-6.99506546641579e-05,0,6.99506546641579e-05,NaN,-5.65614946980523e-05,0,5.65614946980523e-05,NaN,-4.43731391647578e-05,0,4.43731391647578e-05,NaN,1.33891599661056e-05,0.236718637609954,1.21883555332945e-05,0.274678685410087,0.274678685410087,0.274678685410087,DIAGNOSTIC_NO_GATE,0.910315177662309,MONOTONIC,NOT_APPLICABLE_REAL,NaN,0.863328453235646,-1.17820195253971e-06,1.21680982079708,DEMONSTRATED_FOR_REAL_SCALAR,DIAGNOSTIC_ONLY,NOT_APPLICABLE
0.5,D3,COMPLEX,DIAGNOSTIC,1,NaN,664176.329567125,12408.9928191629,664292.239801162,1.07034860444227,665484.404988812,12904.4959679779,665609.509622196,1.11089080228302,666653.333322403,13301.4583020589,666786.019366657,1.14304732865879,1398.77971078632,0.0021015019926327,1234.49282855382,0.00185140778705347,0.00185140778705347,0.00185140778705347,DIAGNOSTIC_NO_GATE,0.882549853300237,NOT_APPLICABLE_COMPLEX,DIRECT,1.98961220197357,NaN,NaN,NaN,NOT_DEMONSTRATED,DIAGNOSTIC_ONLY,NOT_APPLICABLE
0.5,D3_REAL,REAL_SCALAR,DIAGNOSTIC_GCI_ONLY,1,NaN,664176.329567125,0,664176.329567125,NaN,665484.404988812,0,665484.404988812,NaN,666653.333322403,0,666653.333322403,NaN,1308.0754216871,0.00196559891093029,1168.92833359097,0.00175342756896658,0.00175342756896658,0.00175342756896658,DIAGNOSTIC_NO_GATE,0.893624567980444,MONOTONIC,NOT_APPLICABLE_REAL,NaN,0.932413502023708,670449.438517194,0.00711783959714177,DEMONSTRATED_FOR_REAL_SCALAR,DIAGNOSTIC_ONLY,NOT_APPLICABLE
0.5,D3_IMAG,REAL_SCALAR,DIAGNOSTIC_GCI_ONLY,1,NaN,12408.9928191629,0,12408.9928191629,NaN,12904.4959679779,0,12904.4959679779,NaN,13301.4583020589,0,13301.4583020589,NaN,495.503148815,0.0383977142574631,396.962334080999,0.0298435197905747,0.0298435197905747,0.0298435197905747,DIAGNOSTIC_NO_GATE,0.801129791062556,MONOTONIC,NOT_APPLICABLE_REAL,NaN,1.34092459801333,14143.967126082,0.0791744789265612,DEMONSTRATED_FOR_REAL_SCALAR,DIAGNOSTIC_ONLY,NOT_APPLICABLE
0.6,A33,REAL_SCALAR,MANDATORY,1,0.05,207284.538946291,0,207284.538946291,NaN,208960.95026729,0,208960.95026729,NaN,210501.532702756,0,210501.532702756,NaN,1676.411320999,0.00802260574932608,1540.582435466,0.00731862811489082,0.00731862811489082,0.00731862811489082,STABLE_X0P1_TO_X10,0.918976396883278,MONOTONIC,NOT_APPLICABLE_REAL,NaN,0.827987304850271,216224.536713344,0.0339843369375226,DEMONSTRATED_FOR_REAL_SCALAR,CONVERGED,PASS
0.6,B33,REAL_SCALAR,MANDATORY,1,0.05,33305.8309055138,0,33305.8309055138,NaN,35606.9265885233,0,35606.9265885233,NaN,37819.6299150878,0,37819.6299150878,NaN,2301.0956830095,0.0646249452978956,2212.70332656449,0.0585067419097551,0.0585067419097551,0.0585067419097551,STABLE_X0P1_TO_X10,0.961586840087673,MONOTONIC,NOT_APPLICABLE_REAL,NaN,0.658939624975658,48411.8130992971,0.350088803353931,DEMONSTRATED_FOR_REAL_SCALAR,PRE_ASYMPTOTIC,FAIL
0.6,F3,COMPLEX,MANDATORY,1,0.05,620698.379896658,20087.1202223989,621023.325814067,1.8535664283225,621349.428526424,21483.2605061563,621720.711261969,1.98022233900584,621893.557256203,22825.6952916083,622312.308188035,2.10201438641233,1540.477851269,0.00247776505328597,1448.5189773567,0.00232763992981965,0.00232763992981965,0.00232763992981965,STABLE_X0P1_TO_X10,0.940304968463813,NOT_APPLICABLE_COMPLEX,DIRECT,2.93642180526243,NaN,NaN,NaN,NOT_DEMONSTRATED,CONVERGED_WITHOUT_ASYMPTOTIC_PROOF,PASS
0.6,F3_REAL,REAL_SCALAR,DIAGNOSTIC_GCI_ONLY,1,NaN,620698.379896658,0,620698.379896658,NaN,621349.428526424,0,621349.428526424,NaN,621893.557256203,0,621893.557256203,NaN,651.048629765981,0.00104779790545554,544.12872977904,0.000874954762644171,0.000874954762644171,0.000874954762644171,DIAGNOSTIC_NO_GATE,0.835772790082712,MONOTONIC,NOT_APPLICABLE_REAL,NaN,1.18252495536257,623235.153364265,0.00269659512550111,DEMONSTRATED_FOR_REAL_SCALAR,DIAGNOSTIC_ONLY,NOT_APPLICABLE
0.6,F3_IMAG,REAL_SCALAR,DIAGNOSTIC_GCI_ONLY,1,NaN,20087.1202223989,0,20087.1202223989,NaN,21483.2605061563,0,21483.2605061563,NaN,22825.6952916083,0,22825.6952916083,NaN,1396.1402837574,0.064987355311235,1342.434785452,0.0588124378382259,0.0588124378382259,0.0588124378382259,DIAGNOSTIC_NO_GATE,0.961532878228492,MONOTONIC,NOT_APPLICABLE_REAL,NaN,0.65914882441486,29249.6747266807,0.351795386350954,DEMONSTRATED_FOR_REAL_SCALAR,DIAGNOSTIC_ONLY,NOT_APPLICABLE
0.6,RAO3,COMPLEX,MANDATORY,1e-06,0.1,1.01225617110716,-0.000230437769765209,1.01225619733647,-0.0130432511025701,1.01131144447637,-0.000199472355244378,1.01131146414846,-0.0113010922592139,1.01049946270931,-0.000169531002732613,1.01049947693038,-0.00961248493494811,0.000945233973056589,0.000934661582079948,0.000812533614460408,0.000804091078729367,0.000804091078729367,0.000804091078729367,STABLE_X0P1_TO_X10,0.859611099073101,NOT_APPLICABLE_COMPLEX,DIRECT,0.234473217357354,NaN,NaN,NaN,NOT_DEMONSTRATED,CONVERGED_WITHOUT_ASYMPTOTIC_PROOF,PASS
0.6,RAO3_REAL,REAL_SCALAR,DIAGNOSTIC_GCI_ONLY,1e-06,NaN,1.01225617110716,0,1.01225617110716,NaN,1.01131144447637,0,1.01131144447637,NaN,1.01049946270931,0,1.01049946270931,NaN,0.000944726630790038,0.000934159932580603,0.000811981767059988,0.000803544976543516,0.000803544976543516,0.000803544976543516,DIAGNOSTIC_NO_GATE,0.859488597649628,MONOTONIC,NOT_APPLICABLE_REAL,NaN,1.07791470634382,1.00826801698405,0.00276032522480848,DEMONSTRATED_FOR_REAL_SCALAR,DIAGNOSTIC_ONLY,NOT_APPLICABLE
0.6,RAO3_IMAG,REAL_SCALAR,DIAGNOSTIC_GCI_ONLY,1e-06,NaN,-0.000230437769765209,0,0.000230437769765209,NaN,-0.000199472355244378,0,0.000199472355244378,NaN,-0.000169531002732613,0,0.000169531002732613,NaN,3.0965414520831e-05,0.155236621550362,2.9941352511765e-05,0.176612843840657,0.176612843840657,0.176612843840657,DIAGNOSTIC_NO_GATE,0.966928845458308,MONOTONIC,NOT_APPLICABLE_REAL,NaN,0.638288954669894,-2.11107437360089e-05,1.09434451961786,DEMONSTRATED_FOR_REAL_SCALAR,DIAGNOSTIC_ONLY,NOT_APPLICABLE
0.6,D3,COMPLEX,DIAGNOSTIC,1,NaN,613178.553670794,19983.4985433083,613504.098515925,1.86660967942507,614395.466759137,21364.155953114,614766.798659269,1.99152343126506,615428.046472138,22691.7779490527,615846.24474864,2.11162687134729,1840.40548462339,0.0029936644084181,1681.90398887735,0.00273104529453424,0.00273104529453424,0.00273104529453424,DIAGNOSTIC_NO_GATE,0.913876861881622,NOT_APPLICABLE_COMPLEX,DIRECT,3.51841498162798,NaN,NaN,NaN,NOT_DEMONSTRATED,DIAGNOSTIC_ONLY,NOT_APPLICABLE
0.6,D3_REAL,REAL_SCALAR,DIAGNOSTIC_GCI_ONLY,1,NaN,613178.553670794,0,613178.553670794,NaN,614395.466759137,0,614395.466759137,NaN,615428.046472138,0,615428.046472138,NaN,1216.91308834299,0.00198066742705974,1032.57971300103,0.00167782362035686,0.00167782362035686,0.00167782362035686,DIAGNOSTIC_NO_GATE,0.848523795899874,MONOTONIC,NOT_APPLICABLE_REAL,NaN,1.12590844135693,618125.078743385,0.00547796019109714,DEMONSTRATED_FOR_REAL_SCALAR,DIAGNOSTIC_ONLY,NOT_APPLICABLE
0.6,D3_IMAG,REAL_SCALAR,DIAGNOSTIC_GCI_ONLY,1,NaN,19983.4985433083,0,19983.4985433083,NaN,21364.155953114,0,21364.155953114,NaN,22691.7779490527,0,22691.7779490527,NaN,1380.6574098057,0.0646249452978956,1327.6219959387,0.0585067419097551,0.0585067419097551,0.0585067419097551,DIAGNOSTIC_NO_GATE,0.961586840087674,MONOTONIC,NOT_APPLICABLE_REAL,NaN,0.658939624975657,29047.0878595783,0.350088803353932,DEMONSTRATED_FOR_REAL_SCALAR,DIAGNOSTIC_ONLY,NOT_APPLICABLE
1,A33,REAL_SCALAR,MANDATORY,1,0.05,988293.816047355,0,988293.816047355,NaN,271103.700853828,0,271103.700853828,NaN,179570.10622575,0,179570.10622575,NaN,717190.115193527,2.64544568345903,91533.594628078,0.509737375290099,0.509737375290099,0.509737375290099,STABLE_X0P1_TO_X10,0.127628076139028,MONOTONIC,NOT_APPLICABLE_REAL,NaN,8.35453605891682,170490.915954197,0.0632008750118676,DEMONSTRATED_FOR_REAL_SCALAR,PRE_ASYMPTOTIC,FAIL
1,B33,REAL_SCALAR,MANDATORY,1,0.05,660157.801683817,0,660157.801683817,NaN,74096.694651181,0,74096.694651181,NaN,97712.6193486324,0,97712.6193486324,NaN,586061.107032636,7.90940958691327,23615.9246974514,0.241687561492864,0.241687561492864,0.241687561492864,STABLE_X0P1_TO_X10,0.0402960107983011,OSCILLATORY,NOT_APPLICABLE_REAL,NaN,NaN,NaN,NaN,NOT_DEMONSTRATED,PRE_ASYMPTOTIC,FAIL
1,F3,COMPLEX,MANDATORY,1,0.05,-450989.023020461,680669.314028212,816518.10386824,123.527140899478,288653.425670831,76564.0470701245,298634.983642677,14.8553740044352,383582.665610315,101132.938127187,396690.726550234,14.7701201637907,954994.306513161,3.19786481431067,98057.0803321307,0.247187730312908,0.247187730312908,0.247187730312908,STABLE_X0P1_TO_X10,0.102678183171744,NOT_APPLICABLE_COMPLEX,DIRECT,53.7508149759041,NaN,NaN,NaN,NOT_DEMONSTRATED,PRE_ASYMPTOTIC,FAIL
