stage,mesh_level,omega_rad_s,bem_unknown_count,mesh_generation_runtime_s,assembly_runtime_s,solve_runtime_s,total_runtime_s,peak_memory_bytes,memory_measurement_status,estimated_dense_complex_matrix_bytes,solve_status
mesh_audit,MESH_L1,0.5,2880,0.733241,NaN,NaN,0.733241,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,132710400,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,0.5,4680,0.5002971,NaN,NaN,0.5002971,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,350438400,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,0.5,8792,0.8272464,NaN,NaN,0.8272464,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,1236788224,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,0.6,2752,0.2485102,NaN,NaN,0.2485102,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,121176064,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,0.6,4440,0.5131623,NaN,NaN,0.5131623,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,315417600,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,0.6,8344,0.7375613,NaN,NaN,0.7375613,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,1113957376,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,1,2496,0.2384651,NaN,NaN,0.2384651,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,99680256,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,1,4040,0.3862448,NaN,NaN,0.3862448,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,261145600,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,1,7672,0.6570295,NaN,NaN,0.6570295,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,941753344,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,1.4,2496,0.2170744,NaN,NaN,0.2170744,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,99680256,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,1.4,3960,0.3349679,NaN,NaN,0.3349679,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,250905600,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,1.4,7560,0.6663038,NaN,NaN,0.6663038,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,914457600,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,1.5,2496,0.2361533,NaN,NaN,0.2361533,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,99680256,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,1.5,3960,0.334342,NaN,NaN,0.334342,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,250905600,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,1.5,7560,0.6837739,NaN,NaN,0.6837739,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,914457600,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,2,2432,0.2321979,NaN,NaN,0.2321979,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,94633984,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,2,3880,0.3271996,NaN,NaN,0.3271996,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,240870400,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,2,7448,0.6513491,NaN,NaN,0.6513491,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,887563264,NOT_RUN_MESH_AUDIT
