stage,mesh_level,omega_rad_s,bem_unknown_count,mesh_generation_runtime_s,assembly_runtime_s,solve_runtime_s,total_runtime_s,peak_memory_bytes,memory_measurement_status,estimated_dense_complex_matrix_bytes,solve_status
mesh_audit,MESH_L1,0.5,1048,0.5880037,NaN,NaN,0.5880037,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,17572864,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,0.5,2200,0.297623,NaN,NaN,0.297623,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,77440000,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,0.5,4236,0.4392287,NaN,NaN,0.4392287,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,287099136,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,0.6,992,0.1252265,NaN,NaN,0.1252265,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,15745024,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,0.6,2040,0.2960505,NaN,NaN,0.2960505,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,66585600,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,0.6,3912,0.3683654,NaN,NaN,0.3683654,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,244859904,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,1,824,0.1070362,NaN,NaN,0.1070362,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,10863616,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,1,1800,0.1812365,NaN,NaN,0.1812365,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,51840000,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,1,3588,0.3224497,NaN,NaN,0.3224497,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,205979904,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,1.4,880,0.0994626,NaN,NaN,0.0994626,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,12390400,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,1.4,1880,0.1858637,NaN,NaN,0.1858637,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,56550400,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,1.4,3588,0.3389536,NaN,NaN,0.3389536,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,205979904,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,1.5,880,0.1037239,NaN,NaN,0.1037239,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,12390400,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,1.5,1880,0.1906573,NaN,NaN,0.1906573,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,56550400,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,1.5,3696,0.3425645,NaN,NaN,0.3425645,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,218566656,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L1,2,880,0.106356,NaN,NaN,0.106356,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,12390400,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L2,2,1960,0.1907808,NaN,NaN,0.1907808,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,61465600,NOT_RUN_MESH_AUDIT
mesh_audit,MESH_L3,2,3696,0.3461222,NaN,NaN,0.3461222,NaN,NOT_RELIABLY_AVAILABLE_MESH_ONLY,218566656,NOT_RUN_MESH_AUDIT
