stage,mesh_level,mesh_level_index,nested_mesh,eta_control,omega_rad_s,wavelength_m,body_division_count,fs_near_radial_count,fs_sponge_radial_count,bottom_near_radial_count,bottom_sponge_radial_count,configured_wall_vertical_count,configured_wall_theta_count,configured_fs_theta_count,configured_bottom_theta_count,actual_wall_vertical_layer_count,actual_wall_theta_count,actual_fs_theta_count,actual_bottom_theta_count,body_panel_count,free_surface_panel_count,bottom_panel_count,farfield_panel_count,total_panel_count,body_mean_sqrt_area_m,body_median_sqrt_area_m,fs_mean_sqrt_area_m,fs_median_sqrt_area_m,bottom_mean_sqrt_area_m,bottom_median_sqrt_area_m,wall_mean_sqrt_area_m,wall_median_sqrt_area_m,transition_mean_sqrt_area_m,transition_median_sqrt_area_m,transition_panel_count,global_equivalent_h_m,minimum_panel_area_m2,maximum_panel_area_m2,median_panel_area_m2,minimum_edge_length_m,maximum_aspect_ratio,maximum_skewness_deg,maximum_warp_deg,worst_poor_panel_fraction,unique_vertex_count,unique_edge_count,minimum_edge_multiplicity,maximum_edge_multiplicity,nonmanifold_edge_count,duplicate_panel_count,triangle_duplicate_vertex_count,unexpected_within_panel_duplicate_vertex_count,euler_characteristic,manifold_status,normal_orientation_status,waterline_continuity_status,maximum_interface_gap_m,self_intersection_audit,self_intersection_status,actual_top_outer_radius_m,actual_bottom_outer_radius_m,target_top_outer_radius_m,target_bottom_outer_radius_m,water_depth_m,body_geometry_hash,free_surface_geometry_hash,bottom_geometry_hash,farfield_geometry_hash,combined_geometry_hash,operator_hash,production_source_hash,physical_state_hash,mesh_control_hash,config_raw_sha256,body_bmf_raw_sha256,mesh_generation_command,generation_runtime_s,geometry_gate_status
mesh_audit,MESH_L1,1,NO,0.0901298343593916,0.5,219.748602338939,3,3,2,3,2,2,56,56,44,7,56,56,44,108,248,300,392,1048,1.19605309862247,1.15806884654303,63.7454221562558,70.4728448839554,33.3190482084324,3.45362533501838,40.8584696115051,40.8893474790069,67.5135751682419,71.3570755838948,288,53.5657628926091,0.347222222235434,14091.4242813054,1607.06999951503,0.589255651,19.2619606988335,73.07476117158,8.98669717573242,0.451612903225806,986,2032,2,2,0,0,128,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,689.245807016818,524.434355262614,689.245807016818,524.434355262614,50,fb55d0b0c80f048376c7debbd05f9db7242de0ed763531b70c18c66ee9d79a37,cd07dc6e78c70b842055ec50aaa1bea14794f5d91e7ba821ded34881e660aeec,a7f171bb88ece33f326e8fe545bda119c1496629608ca43ef52dbf0c794896d4,0406991ed9ddea689b510199d1519ff9458880c8abf0fe7e09ae89afd447b896,06c6eed2976342cfe9986276efbaaf07216c16b6d6d8dc82c5de0537ed682b81,NOT_ASSEMBLED_MESH_AUDIT,c4e733f059d75b02aef4f528f365a1ba8909a20afa472614ec1659a3c93c425e,a29b88cc289c67fd1301f73c2cad39f5175bcad78050b5b9356bd4daf5cf7abd,b1bac1438845eceb4c7269f055749ed2ba8be35b2f4a3b46fb914e6dceebe37c,bcfe1f0f4f97408b85d4185224d7c1c7060b535436456556334d5c1182b19031,aa410b747abdc696b8ec3e24a872e0697927b6a85a9eac886d4a613aaf181d4b,"generate_body_bmf(D=10,division=3); FS=[3,2]; bottom=[3,2]; wallNz=2; theta=[wall:56,FS:56,bottom:44]; outerFactor=1.5",0.5880037,FAIL
mesh_audit,MESH_L2,2,NO,0.061484362338716,0.5,219.748602338939,5,4,3,4,3,3,80,80,64,10,80,80,64,300,440,660,800,2200,0.720984429031345,0.720822984811636,39.8407152719534,3.98360992892435,16.0690001425007,0.808316678147345,28.6150423368682,28.6362391882324,31.9324258941874,3.98360992892435,404,36.9907188819252,0.125000000004756,9531.32391842816,719.84664209374,0.3535533906,122.201862485027,85.2216546133449,180,0.363636363636364,2162,4360,2,2,0,0,80,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,689.245807016818,524.434355262614,689.245807016818,524.434355262614,50,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,8c8b279c375e4afa652b3bb2fd526b978bd89fe6de16f36013eb58badd4e9444,f73bda46d706874aeb927d1a7972c85c9078147875169451a960140855085dec,7ac95da89dde6b1d6593b0dc5f17936c2345479feb8819124c97fb82dcb57e76,b83fb728b248d7aae2fb57afb7a73c303e31988db8021784564d900a60e79025,NOT_ASSEMBLED_MESH_AUDIT,c4e733f059d75b02aef4f528f365a1ba8909a20afa472614ec1659a3c93c425e,a29b88cc289c67fd1301f73c2cad39f5175bcad78050b5b9356bd4daf5cf7abd,c99aa528c496a37f67973c3c5a2bb8d36c35e20977b731f2cb6227421fecd9a4,5c703398d911815e43ca89a6b32138d066f4aa4ddab09667432d0c8b0bbabc45,86ba08c6868727b52c6010184836bb72c2e62486759f0a432118249710713370,"generate_body_bmf(D=10,division=5); FS=[4,3]; bottom=[4,3]; wallNz=3; theta=[wall:80,FS:80,bottom:64]; outerFactor=1.5",0.297623,FAIL
mesh_audit,MESH_L3,3,NO,0.044840825167315,0.5,219.748602338939,7,6,4,6,4,4,108,108,84,14,108,108,84,588,828,1308,1512,4236,0.515651584165798,0.511276502549461,29.760990025932,14.5168007819225,12.7360103426467,1.13553711813706,20.8188262961178,20.8345626476414,35.9949058127481,50.6539007061105,562,26.6635961024509,0.0637755102065082,6102.95420080732,379.352658603421,0.252538136142857,12.1922444288728,80.3114637910491,5.01605271391314,0.256038647342995,4082,8316,2,2,0,0,312,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,689.245807016818,524.434355262614,689.245807016818,524.434355262614,50,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,8fde8e4023e1ec7c713f3b0a73bf0b29c088364a4aeb4ff94f741e02f86a8784,84ced52424aff72a7e3e9756e8c86f7bb403cf080ab0639509f07ddd1579073f,b27c604169bf83905f3b330bd55b0be26a1d8209c1bbef113da8fde9ac1a046a,5e3ab3a32d99d095285077d483604b487144ac0026a7afa6b158dae2f113ffaa,NOT_ASSEMBLED_MESH_AUDIT,c4e733f059d75b02aef4f528f365a1ba8909a20afa472614ec1659a3c93c425e,a29b88cc289c67fd1301f73c2cad39f5175bcad78050b5b9356bd4daf5cf7abd,800a04316384ba929d86229323cc8055268498255fd1fe2649c6e770a659e5ab,2069eb82bb8aa27f640bb582f815f57a34f00c55734866cdb49e69191cba85e2,775840353c1a329ea1b9258219e3af16b3a96364761d5b04258ca6678002b36c,"generate_body_bmf(D=10,division=7); FS=[6,4]; bottom=[6,4]; wallNz=4; theta=[wall:108,FS:108,bottom:84]; outerFactor=1.5",0.4392287,FAIL
mesh_audit,MESH_L1,1,NO,0.0901298343593916,0.6,163.908484447332,3,3,2,3,2,2,56,56,44,6,56,56,44,108,248,300,336,992,1.19605309862247,1.15806884654303,48.4415194131114,53.2608069802675,25.5622734367441,3.45362533501837,33.7405884604175,33.7629678757503,51.3532108539911,54.098346540353,288,41.8217361676861,0.347222222235434,8186.17358070693,1063.95291714975,0.589255651,13.5650659004941,73.07476117158,8.98669717573242,0.451612903225806,930,1920,2,2,0,0,128,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,521.725453341996,398.794090006497,521.725453341996,398.794090006497,50,fb55d0b0c80f048376c7debbd05f9db7242de0ed763531b70c18c66ee9d79a37,3acfded34b334c3b3dfb1a885810b92761de27a70bd850e5d56bf053e4561ca4,d74ece94a7886f27484e43fe54cadce18e1488a07d5d7a27172144be4e22870e,1f7565e5442d6f407894c53e1fa045212b0f8c53cdb2188ded784d651eebcaf1,07919bc023f5f49178d821c56928e64c5d64a076d6fb2f9e9c11e073d6d999bf,NOT_ASSEMBLED_MESH_AUDIT,c4e733f059d75b02aef4f528f365a1ba8909a20afa472614ec1659a3c93c425e,b9ff0684826c91b7cd4faf04e7ae5ba605620ef1660882a19aacaaae4bc7cd93,21bff030d23a3a9d2a28e96b879ee208d8dae6de70af208db2b4fd093934c0e8,c2834eb3453179df90e4370f418a60cb3b42fc43134676fcc2b5b42434b904b6,aa410b747abdc696b8ec3e24a872e0697927b6a85a9eac886d4a613aaf181d4b,"generate_body_bmf(D=10,division=3); FS=[3,2]; bottom=[3,2]; wallNz=2; theta=[wall:56,FS:56,bottom:44]; outerFactor=1.5",0.1252265,FAIL
mesh_audit,MESH_L2,2,NO,0.061484362338716,0.6,163.908484447332,5,4,3,4,3,3,80,80,64,8,80,80,64,300,440,660,640,2040,0.720984429031345,0.720822984811636,31.2371452402666,6.41546783730746,12.9937687226743,1.37874684600174,24.4588499884987,24.4759599288594,31.3158226335428,44.4559363967734,324,29.1789688922524,0.125000000004756,5431.69623577725,40.6479146592811,0.3535533906,41.8642994968663,76.6357477987396,6.49915624280425,0.181818181818182,2002,4040,2,2,0,0,80,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,521.725453341996,398.794090006497,521.725453341996,398.794090006497,50,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,933890082bdd5242220c654f442fb9b98851adfd39a51a3f15a6e0d7f7546e95,1bf0efc321f107ff46b1ea14bd26dd8131e94bb6b91c4cff3da5009d55256448,a0c984f8e2ceeb0c7c09f9f15e043738c6cf0c9bf7324655e487c1a234c2ef5a,9423db6f3129478d2c67e0a071a9d7de4184dec1771c3414a6fdeafa2ea14a51,NOT_ASSEMBLED_MESH_AUDIT,c4e733f059d75b02aef4f528f365a1ba8909a20afa472614ec1659a3c93c425e,b9ff0684826c91b7cd4faf04e7ae5ba605620ef1660882a19aacaaae4bc7cd93,05ccb407608d0f9e6d130b134d6db0c066652dea0c6dff34b866b7ecf1e1015f,13182d14b19e6bf816a88a38b2ba51705f379b71e96dbb1d11395ba92ac2f841,86ba08c6868727b52c6010184836bb72c2e62486759f0a432118249710713370,"generate_body_bmf(D=10,division=5); FS=[4,3]; bottom=[4,3]; wallNz=3; theta=[wall:80,FS:80,bottom:64]; outerFactor=1.5",0.2960505,FAIL
mesh_audit,MESH_L3,3,NO,0.044840825167315,0.6,163.908484447332,7,6,4,6,4,4,108,108,84,11,108,108,84,588,828,1308,1188,3912,0.515651584165798,0.511276502549461,22.9680631516993,12.9385433141175,9.99607589619855,1.13553711813706,17.9558280854335,17.9691143191631,26.53393226241,38.268225587801,544,21.0757986761429,0.0637755102065082,3529.02934416534,47.8420333543806,0.252538136142857,9.89828530263422,80.3114637910491,5.01605271391314,0.188405797101449,3758,7668,2,2,0,0,312,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,521.725453341996,398.794090006497,521.725453341996,398.794090006497,50,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,60bca37b57c5467ada0b7c4ba9670ccc107063ef4d4611751f7dd78a9e278cc7,a53ccd2c4b8155eb40d1034090cd15fbc780f715f48c947cad9817c04654c19f,5f0b9773a39c9cdc05cc659e5b07c41408caf5eccd84b3c09b52e71c5d5b0f8c,f251c77e23ca76e2e05c4fe9613f9dafbc6161c22a283e82d224b06b21cd57e2,NOT_ASSEMBLED_MESH_AUDIT,c4e733f059d75b02aef4f528f365a1ba8909a20afa472614ec1659a3c93c425e,b9ff0684826c91b7cd4faf04e7ae5ba605620ef1660882a19aacaaae4bc7cd93,e79d1f4e7c85cd953e8df57675ab9d8f6367b443b6f5dee03b301fd7bf575b44,1739c98f8c6e92b2628457fdb2f3a2831cd4b9b7f546cc29c995a1763ee5eb81,775840353c1a329ea1b9258219e3af16b3a96364761d5b04258ca6678002b36c,"generate_body_bmf(D=10,division=7); FS=[6,4]; bottom=[6,4]; wallNz=4; theta=[wall:108,FS:108,bottom:84]; outerFactor=1.5",0.3683654,FAIL
mesh_audit,MESH_L1,1,NO,0.0901298343593916,1,61.6124091872216,3,3,2,3,2,2,56,56,44,3,56,56,44,108,248,300,168,824,1.19605309862247,1.15806884654303,20.4021785908358,21.7249379767745,11.3520182364618,3.4536253350183,22.0697455298057,22.0816456893921,21.8064293733707,23.0030212965758,278,19.5779212084868,0.347222222235434,1465.23364154797,448.427128197051,0.589255651,8.04253419135794,73.07476117158,8.98669717573242,0.258064516129032,762,1584,2,2,0,0,128,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,214.837227561665,168.627920671248,214.837227561665,168.627920671248,50,fb55d0b0c80f048376c7debbd05f9db7242de0ed763531b70c18c66ee9d79a37,51b1cf5885f1bdefc7497c4342437354689c81df55846eb2e9ec6015bad1e2f4,5658ad25e621c3d195f31a4baf0212e808364a07afb273c5b68ffa7361409096,39bf0c6f2f924be9154ee310aee1301f9e559f16d23dbc906c40734577c33e05,31cf656e701f0da0f46f7b0579064ead7cb65423f064cae7df42f6a65b175cac,NOT_ASSEMBLED_MESH_AUDIT,c4e733f059d75b02aef4f528f365a1ba8909a20afa472614ec1659a3c93c425e,9a1785914954faa76a621c2f5a6d5f96a039a2950c414e7354fcbcce8acd2f15,74996338dae6cdf7bd0b6ea8cf8e75f7e9c3d8e2e6369bfd555420259b354898,f998951a9320eb25ab79eba877b9530ddf2c53a3c0dddd1a04f2a7a7f51d8a3b,aa410b747abdc696b8ec3e24a872e0697927b6a85a9eac886d4a613aaf181d4b,"generate_body_bmf(D=10,division=3); FS=[3,2]; bottom=[3,2]; wallNz=2; theta=[wall:56,FS:56,bottom:44]; outerFactor=1.5",0.1070362,FAIL
mesh_audit,MESH_L2,2,NO,0.061484362338716,1,61.6124091872216,5,4,3,4,3,3,80,80,64,4,80,80,64,300,440,740,320,1800,0.720984429031345,0.720822984811636,14.5110909279949,14.0068527883543,7.11232342775217,1.95393876410452,15.9956698609306,16.0029533909979,12.9495883098228,12.4471489890845,324,13.2526456364761,0.125000000004756,783.451265579478,15.8691480687161,0.3535533906,5.43300793623674,75.7917302049096,6.49915624280425,0.0909090909090909,1762,3560,2,2,0,0,80,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,214.837227561665,168.627920671248,214.837227561665,168.627920671248,50,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,bb7bb676324d03c777dca4ed043ec882040be489f5f05736bcb8ec4511c4d3d3,37f2de8a5624210e7215f361ba0e7060cebae913481ea4b160767ee66915beb3,9ac47e69f27cacc96262b0dcd82d37a8647ec4f5cbd69c72a9e8d37b9d58dfce,6a958ff691d703df7a355375a02376b2dbbe4502b79b84aa8267d962edf7bc83,NOT_ASSEMBLED_MESH_AUDIT,c4e733f059d75b02aef4f528f365a1ba8909a20afa472614ec1659a3c93c425e,9a1785914954faa76a621c2f5a6d5f96a039a2950c414e7354fcbcce8acd2f15,84c06507730cd5b226fa4ba1b4291b9aaf484e745d458db57952dbff3fec0a7d,06303354c01326d3a8fd389521cde13a89fef7da9da90415e15b30a46bf14f3b,86ba08c6868727b52c6010184836bb72c2e62486759f0a432118249710713370,"generate_body_bmf(D=10,division=5); FS=[4,3]; bottom=[4,3]; wallNz=3; theta=[wall:80,FS:80,bottom:64]; outerFactor=1.5",0.1812365,FAIL
mesh_audit,MESH_L3,3,NO,0.044840825167315,1,61.6124091872216,7,6,4,6,4,4,108,108,84,6,108,108,84,588,936,1416,648,3588,0.515651584165798,0.511276502549461,10.0497007718358,12.0534596627685,4.96216492508236,1.43221545734252,11.241925450199,11.2479920996922,9.14568839448586,10.7152864942197,532,9.38864631449591,0.0637755102065082,418.80825376422,8.35130420526892,0.252538136142857,5.04253119694241,76.7423649540475,5.01605271391314,0.166666666666667,3434,7020,2,2,0,0,312,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,214.837227561665,168.627920671248,214.837227561665,168.627920671248,50,1c1adedc691956860cf905855e035bca0281bb90a0f4cbdc3f93e924d85bb2a5,c2acc1734f9f544a09825234b285189711e89468603e96aa4fe895d4ae1ea9d6,5d6d709d5ef8d40a3121db928046e53a1fb6d8d2342eaa4eb9699fdec09674d0,446e262fce8dc64d74d0262724621a9d7f231c82149acb42d0ce535b789dc735,47b8ea33b2b648835cb18e85c20d38f348d892be6dccaa8f0371722a841d057d,NOT_ASSEMBLED_MESH_AUDIT,c4e733f059d75b02aef4f528f365a1ba8909a20afa472614ec1659a3c93c425e,9a1785914954faa76a621c2f5a6d5f96a039a2950c414e7354fcbcce8acd2f15,21f81716c8f2b822eaa39f446782a644f6228b3def7821f6e66cc5b19195f561,59f873b220f26abb2fb1952d571303e4acbb2f67db7db4599cc85710daadfe6e,775840353c1a329ea1b9258219e3af16b3a96364761d5b04258ca6678002b36c,"generate_body_bmf(D=10,division=7); FS=[6,4]; bottom=[6,4]; wallNz=4; theta=[wall:108,FS:108,bottom:84]; outerFactor=1.5",0.3224497,FAIL
mesh_audit,MESH_L1,1,NO,0.0901298343593916,1.4,31.4372443546838,3,3,2,3,2,2,56,56,44,3,56,56,44,108,248,356,168,880,1.19605309862247,1.15806884654303,12.41778660222,12.416433015468,7.27413169739153,5.65374023844564,15.2401085216821,15.2463162846876,12.3462376132117,11.4100187602835,268,11.6476234474128,0.347222222235434,419.204594191592,112.656949781284,0.589255651,3.38642401534279,71.8260858315068,8.98669717573242,0.258064516129032,818,1696,2,2,0,0,128,0,2,PASS,PASS,PASS,0,ANALYTIC_COMPONENT_SEPARATION_PLUS_DUPLICATE_PANEL_AUDIT,PASS,124.311733064051,100.733799798038,124.311733064051,100.733799798038,50,fb55d0b0c80f048376c7debbd05f9db7242de0ed763531b70c18c66ee9d79a37,9a6b3590ba2947f18ea39c6a08ca8c7f12f45ee597d1f342286003e39b44a114,7110884533c42e27e0de184e0e572268fa40688de8a54c8338b1152039b7b8f6,d9b2e8f57c72cd11d1e8d4160e2d6e6f155dab64e00541b96a87690ab90a3d40,e395dd21915b5d724a77376c7315455638a9c998f702e1b7bffc01fe9825d1d4,NOT_ASSEMBLED_MESH_AUDIT,c4e733f059d75b02aef4f528f365a1ba8909a20afa472614ec1659a3c93c425e,371d6127776ae3992b889611747bc044cdb22bcad227f5bfc88bb146c31eef75,86b5a37a7e4f9c4a9dda486ee46c7da9fb92c1e09588de761c9194b76d71b56c,2f77465dc6260c6840508ad00506ebf8a678fd585651bb53512c63081f97c968,aa410b747abdc696b8ec3e24a872e0697927b6a85a9eac886d4a613aaf181d4b,"generate_body_bmf(D=10,division=3); FS=[3,2]; bottom=[3,2]; wallNz=2; theta=[wall:56,FS:56,bottom:44]; outerFactor=1.5",0.0994626,FAIL
