omega_rad_s,heading_deg,method,body,dof,load,Cd
0.5,0,near_field,1,1,679.729056127802,0.0135245022237211
0.5,0,near_field,1,2,-0.106730099220731,-2.12359829440239e-06
0.5,0,near_field,1,3,19004.433444469,0.378129344425074
0.5,0,near_field,1,4,-0.00232215561209454,-4.62037019845948e-09
0.5,0,near_field,1,5,1.32821559276413,2.642737510774e-06
0.5,0,near_field,1,6,1.04057601843604e-05,2.07042387675171e-11
0.5,0,near_field,2,1,533.753881711795,0.010620048525296
0.5,0,near_field,2,2,0.3298831122855,6.56365186312474e-06
0.5,0,near_field,2,3,18901.3590342756,0.376078483015955
0.5,0,near_field,2,4,0.00272400854612143,5.41993303174724e-09
0.5,0,near_field,2,5,1.83602937030759,3.65312959298791e-06
0.5,0,near_field,2,6,0.00280119620007639,5.57351254819523e-09
0.5,0,far_field_global,0,1,-594.862758927756,-0.0118359258492764
0.5,0,far_field_global,0,2,-0.000506092443221988,-1.00696716023234e-08
0.5,0,far_field_global,0,3,0,0
0.5,0,far_field_global,0,4,0,0
0.5,0,far_field_global,0,5,0,0
0.5,0,far_field_global,0,6,0.552223734088738,1.09875413627609e-06
0.5,45,near_field,1,1,520.308362408178,0.0103525243491827
0.5,45,near_field,1,2,451.684012588491,0.00898711240545192
0.5,45,near_field,1,3,18980.6464470628,0.377656056875548
0.5,45,near_field,1,4,1.58026212148285,3.14423201176773e-06
0.5,45,near_field,1,5,-1.78978127519399,-3.5611102126822e-06
0.5,45,near_field,1,6,0.146296729972567,2.91085165773035e-07
0.5,45,near_field,2,1,395.248926749551,0.00786422904914425
0.5,45,near_field,2,2,409.779516299022,0.00815334276129495
0.5,45,near_field,2,3,18905.1195914087,0.376153306451632
0.5,45,near_field,2,4,1.53285646629982,3.04990944556875e-06
0.5,45,near_field,2,5,-1.41262871334989,-2.81069346716298e-06
0.5,45,near_field,2,6,0.0617364160179413,1.22836340184673e-07
0.5,45,far_field_global,0,1,-439.627455308309,-0.00874722427020707
0.5,45,far_field_global,0,2,-230.755725821361,-0.00459132399722012
0.5,45,far_field_global,0,3,0,0
