omega_rad_s,heading_deg,method,body,dof,load,Cd
0.75,0,near_field,1,1,5148.38894911706,0.102436988919631
0.75,0,near_field,1,2,16.8399598356047,0.000335063025761234
0.75,0,near_field,1,3,32559.5347178909,0.647833862221484
0.75,0,near_field,1,4,-1.1856540968853,-2.35908430356614e-05
0.75,0,near_field,1,5,-12.0486282325642,-0.000239730371763694
0.75,0,near_field,1,6,-0.721398965775628,-1.43536043205252e-05
0.75,0,far_field_global,0,1,3301.04612139808,0.0656805902395615
0.75,0,far_field_global,0,2,-0.0013262919067231,-2.6389099715648e-08
0.75,0,far_field_global,0,3,0,0
0.75,0,far_field_global,0,4,0,0
0.75,0,far_field_global,0,5,0,0
0.75,0,far_field_global,0,6,-0.153131722046316,-3.04684682325576e-06
1,0,near_field,1,1,33163.7207372794,0.659855292067826
1,0,near_field,1,2,-5.59859298030987,-0.00011139465428071
1,0,near_field,1,3,46836.1552634921,0.93189437806311
1,0,near_field,1,4,0.426429383107971,8.48462352478779e-06
1,0,near_field,1,5,-139.16945091026,-0.00276904088672054
1,0,near_field,1,6,-6.46526460613166,-0.000128638734440289
1,0,far_field_global,0,1,16627.3613669493,0.330832974925288
1,0,far_field_global,0,2,-0.253983540214292,-5.05348553728869e-06
1,0,far_field_global,0,3,0,0
1,0,far_field_global,0,4,0,0
1,0,far_field_global,0,5,0,0
1,0,far_field_global,0,6,-4.81587369829485,-9.58209656547363e-05
1.25,0,near_field,1,1,131102.108743847,2.60852577252091
1.25,0,near_field,1,2,-403.971263614702,-0.0080377765284896
1.25,0,near_field,1,3,98902.4878193277,1.9678530796726
1.25,0,near_field,1,4,0.0976938339230577,1.94380461188908e-06
1.25,0,near_field,1,5,-240.484077770227,-0.00478488805981162
1.25,0,near_field,1,6,-7.84457132565159,-0.000156082664675682
1.25,0,far_field_global,0,1,69764.1234897624,1.38808990842351
1.25,0,far_field_global,0,2,-29.6069258073553,-0.000589086092920875
1.25,0,far_field_global,0,3,0,0
1.25,0,far_field_global,0,4,0,0
1.25,0,far_field_global,0,5,0,0
1.25,0,far_field_global,0,6,-221.110847718468,-0.00439942080553787
