omega_rad_s,heading_deg,method,body,dof,load,Cd
0.75,0,near_field,1,1,2908.37498388505,0.0578676512095025
0.75,0,near_field,1,2,-21.6718863437244,-0.000431203392595332
0.75,0,near_field,1,3,32523.818241918,0.647123215009387
0.75,0,near_field,1,4,0.0246553676362929,4.90565426647009e-07
0.75,0,near_field,1,5,1.66072261696039,3.30432346882662e-05
0.75,0,near_field,1,6,0.0660430100142378,1.31405127932453e-06
0.75,0,far_field_global,0,1,2995.58959636272,0.0596029517822257
0.75,0,far_field_global,0,2,6.18100237834124e-06,1.22982796832189e-10
0.75,0,far_field_global,0,3,0,0
0.75,0,far_field_global,0,4,0,0
0.75,0,far_field_global,0,5,0,0
0.75,0,far_field_global,0,6,0.000513901755041494,1.02250527120707e-08
1,0,near_field,1,1,17805.8130716605,0.354280512671738
1,0,near_field,1,2,-57.0126015862556,-0.00113437413037182
1,0,near_field,1,3,49898.1074777489,0.992817740331234
1,0,near_field,1,4,0.0172549138614087,3.43319325229581e-07
1,0,near_field,1,5,-0.452261717902008,-8.99860695129615e-06
1,0,near_field,1,6,0.0332089719195707,6.60755650394438e-07
1,0,far_field_global,0,1,16059.9615432317,0.319543476398739
1,0,far_field_global,0,2,-0.000896971124371352,-1.78469463042831e-08
1,0,far_field_global,0,3,0,0
1,0,far_field_global,0,4,0,0
1,0,far_field_global,0,5,0,0
1,0,far_field_global,0,6,-0.0152811618649965,-3.0404777574394e-07
1.25,0,near_field,1,1,126399.801353908,2.51496442454185
1.25,0,near_field,1,2,-65.3148102616404,-0.00129956236041701
1.25,0,near_field,1,3,90101.9237586369,1.79274912150601
1.25,0,near_field,1,4,0.00771048141715862,1.53414690945203e-07
1.25,0,near_field,1,5,-48.9227346662904,-0.00097341084336456
1.25,0,near_field,1,6,-0.0206861112057276,-4.11589521559899e-07
1.25,0,far_field_global,0,1,65071.0342367548,1.29471197280899
1.25,0,far_field_global,0,2,-0.0202532201369989,-4.02976330511392e-07
1.25,0,far_field_global,0,3,0,0
1.25,0,far_field_global,0,4,0,0
1.25,0,far_field_global,0,5,0,0
1.25,0,far_field_global,0,6,0.239706090518375,4.76940852392471e-06
