omega_rad_s,heading_deg,method,body,dof,load,Cd
0.75,0,near_field,1,1,4025.03596745961,0.0800857450504949
0.75,0,near_field,1,2,5.08488398042651,0.000101173436799076
0.75,0,near_field,1,3,32445.0887541854,0.64555674212977
0.75,0,near_field,1,4,-0.0648879423337283,-1.29106901120936e-06
0.75,0,near_field,1,5,4.57498079454952,9.10279432246787e-05
0.75,0,near_field,1,6,-0.0906601212285094,-1.80385552170255e-06
0.75,0,far_field_global,0,1,3222.21803909487,0.0641121556334631
0.75,0,far_field_global,0,2,3.1831299420547e-06,6.33344236083644e-11
0.75,0,far_field_global,0,3,0,0
0.75,0,far_field_global,0,4,0,0
0.75,0,far_field_global,0,5,0,0
0.75,0,far_field_global,0,6,0.000267264333127226,5.31773216859641e-09
1,0,near_field,1,1,26388.5027200739,0.525049445070665
1,0,near_field,1,2,4.44643864183542,8.84703526456807e-05
1,0,near_field,1,3,48798.0600180789,0.970930204142539
1,0,near_field,1,4,-0.0110496934151346,-2.19854663879965e-07
1,0,near_field,1,5,-9.15697830693547,-0.000182195497394523
1,0,near_field,1,6,-0.0338791835044177,-6.74090784427496e-07
1,0,far_field_global,0,1,18095.4275280346,0.360042943045931
1,0,far_field_global,0,2,-2.75077763507085e-05,-5.4731952249343e-10
1,0,far_field_global,0,3,0,0
1,0,far_field_global,0,4,0,0
1,0,far_field_global,0,5,0,0
1,0,far_field_global,0,6,-0.000486015445420979,-9.67020155031144e-09
1.25,0,near_field,1,1,99370.0681408767,1.97715647937509
1.25,0,near_field,1,2,-14.4766860063366,-0.000288041198650774
1.25,0,near_field,1,3,72920.3157794793,1.45088835621084
1.25,0,near_field,1,4,-0.194967790668727,-3.87925496884659e-06
1.25,0,near_field,1,5,-137.088740488642,-0.00272764119596082
1.25,0,near_field,1,6,0.091537348687486,1.82130963023694e-06
1.25,0,far_field_global,0,1,52387.6691690559,1.04235230462069
1.25,0,far_field_global,0,2,-0.000647930094367606,-1.28918014068872e-08
1.25,0,far_field_global,0,3,0,0
1.25,0,far_field_global,0,4,0,0
1.25,0,far_field_global,0,5,0,0
1.25,0,far_field_global,0,6,-0.00416895056336409,-8.29491996207966e-08
