"File","Lines","Functions","Stages","CompactControls","UnclearSingleLetters","NonAsciiLines","LongLines","Status"
"Case_UniformFlow\compute_flow_field.m","218","2","6","0","0","0","0","OK"
"Case_UniformFlow\generate_full_sphere_bmf.m","204","2","6","0","0","0","0","OK"
"Case_UniformFlow\plot_field_slices.m","135","1","3","0","0","0","0","OK"
"Case_UniformFlow\solve_uniform_flow.m","130","1","4","0","0","0","0","OK"
"Case_UniformFlow\UniformFlowMain.m","160","0","7","0","0","0","0","OK"
"Case_Wave(Old）\HydroMain.m","260","1","2","0","0","0","1","OK"
"Case_Wave\Benchmark_Symmetry.m","269","5","8","0","0","0","0","OK"
"Case_Wave\Case1_SingleSphere_Convergence\Run_SingleSphere_Convergence.m","120","3","6","0","0","0","0","OK"
"Case_Wave\Case2_TwoSpheres_Interaction\Run_TwoSpheres_Interaction.m","59","1","2","0","0","0","0","OK"
"Case_Wave\Common_Scripts\Build_Validation_Tables.m","168","2","6","0","0","0","0","OK"
"Case_Wave\Common_Scripts\export_chinese_figure.m","33","1","2","0","0","0","0","OK"
"Case_Wave\Common_Scripts\match_reference_grid.m","34","1","2","0","0","0","0","OK"
"Case_Wave\Common_Scripts\Plot_MeanDrift_Comparison.m","122","2","3","0","0","0","1","OK"
"Case_Wave\Common_Scripts\Plot_MultiBody_Results.m","149","3","4","0","0","0","0","OK"
"Case_Wave\Common_Scripts\Plot_SingleBody_Results.m","175","3","5","0","0","0","0","OK"
"Case_Wave\Common_Scripts\read_wamit_dataset.m","147","3","6","0","0","0","0","OK"
"Case_Wave\HydroMain.m","41","1","2","0","0","0","0","OK"
"Case_Wave\Old Case Results\Test_MultiBody_Wave.m","80","1","2","0","0","0","0","OK"
"Case_Wave\Run_All_Validation.m","68","1","3","0","0","0","0","OK"
"Case_Wave\Run_Convergence_Study.m","329","5","9","0","0","0","6","OK"
"Case_Wave\run_frequency_domain_case.m","619","8","16","0","0","0","0","OK"
"Case_Wave\Validate_Hemisphere_WAMIT.m","72","1","2","0","0","0","0","OK"
"Source Code\0.Tools Code\audit_code_quality.m","198","4","6","0","0","0","0","OK"
"Source Code\0.Tools Code\PlotDomainBMF.m","118","0","4","0","0","0","0","OK"
"Source Code\0.Tools Code\PlotSingleBMF.m","120","0","4","0","0","0","0","OK"
"Source Code\1.Input\read_config.m","612","13","13","0","0","0","4","OK"
"Source Code\2.Mesh\build_bmf_domain.m","125","2","2","0","0","0","1","OK"
"Source Code\2.Mesh\check_mesh_quality.m","299","3","3","0","0","0","2","OK"
"Source Code\2.Mesh\complete_waterline_by_symmetry.m","43","1","1","0","0","0","0","OK"
"Source Code\2.Mesh\expand_mesh_by_symmetry.m","86","2","2","0","0","0","0","OK"
"Source Code\2.Mesh\extract_waterline.m","126","1","1","0","0","0","0","OK"
"Source Code\2.Mesh\generate_body_bmf.m","144","2","2","0","0","0","1","OK"
"Source Code\2.Mesh\generate_box_bmf.m","192","1","1","0","0","0","0","OK"
"Source Code\2.Mesh\generate_farfield_mesh.m","144","1","1","0","0","0","0","OK"
"Source Code\2.Mesh\generate_free_surface_bmf.m","233","1","1","0","0","0","2","OK"
"Source Code\2.Mesh\generate_multibody_free_surface_bmf.m","130","2","2","0","0","0","0","OK"
"Source Code\2.Mesh\generate_reduced_seabed_mesh.m","150","3","3","0","0","0","0","OK"
"Source Code\2.Mesh\generate_seabed_disk_mesh.m","115","2","2","0","0","0","0","OK"
"Source Code\2.Mesh\generate_seabed_mesh.m","378","4","4","0","0","0","0","OK"
"Source Code\2.Mesh\merge_domain_geometry.m","112","2","2","0","0","0","1","OK"
"Source Code\2.Mesh\plot_bmf_domain.m","177","2","2","0","0","0","0","OK"
"Source Code\2.Mesh\read_bmf.m","160","1","1","0","0","0","0","OK"
"Source Code\2.Mesh\reduce_mesh_by_symmetry.m","76","1","1","0","0","0","0","OK"
"Source Code\2.Mesh\transform_body_mesh.m","53","1","1","0","0","0","0","OK"
"Source Code\2.Mesh\tune_sponge_layer.m","99","2","2","0","0","0","0","OK"
"Source Code\2.Mesh\write_bmf.m","54","1","1","0","0","0","0","OK"
"Source Code\3.HessSmith\hess_smith_panel_velocity.m","144","2","2","0","0","0","5","OK"
"Source Code\4.Potential\assemble_rankine_matrix.m","194","2","2","0","0","0","2","OK"
"Source Code\4.Potential\compute_generalized_normals.m","114","2","3","0","0","0","0","OK"
"Source Code\4.Potential\compute_incident_wave.m","109","2","2","0","0","0","0","OK"
"Source Code\4.Potential\decompose_incident_wave_symmetry.m","66","1","1","0","0","0","1","OK"
"Source Code\4.Potential\get_mode_parities.m","38","1","1","0","0","0","0","OK"
"Source Code\4.Potential\load_potential_cache.m","117","3","3","0","0","0","2","OK"
"Source Code\4.Potential\rankine_panel_integrals.m","152","2","2","0","0","0","0","OK"
"Source Code\4.Potential\save_potential_cache.m","37","1","1","0","0","0","0","OK"
"Source Code\4.Potential\solve_complex_system.m","49","1","1","0","0","0","2","OK"
"Source Code\4.Potential\solve_radiation_freq.m","55","1","1","0","0","0","0","OK"
"Source Code\4.Potential\solve_wave_dispersion.m","47","1","1","0","0","0","0","OK"
"Source Code\4.Potential\symmetry_force_weights.m","37","1","1","0","0","0","0","OK"
